0,1
Empresa 97,Empresa 23
Empresa 103,Empresa 109
Empresa 103,Empresa 98
Empresa 103,Empresa 41
Empresa 103,Empresa 41
Empresa 103,Empresa 18
Empresa 105,Empresa 14
Empresa 107,Empresa 1
Empresa 107,Empresa 153
Empresa 107,Empresa 73
Empresa 107,Empresa 87
Empresa 108,Empresa 52
Empresa 108,Empresa 30
Empresa 110,Empresa 128
Empresa 110,Empresa 35
Empresa 110,Empresa 68
Empresa 110,Empresa 141
Empresa 110,Empresa 35
Empresa 111,Empresa 63
Empresa 111,Empresa 99
Empresa 111,Empresa 126
Empresa 111,Empresa 172
Empresa 112,Empresa 54
Empresa 112,Empresa 50
Empresa 112,Empresa 78
Empresa 116,Empresa 141
Empresa 116,Empresa 122
Empresa 116,Empresa 172
Empresa 119,Empresa 39
Empresa 119,Empresa 82
Empresa 119,Empresa 122
Empresa 119,Empresa 73
Empresa 123,Empresa 2
Empresa 123,Empresa 39
Empresa 125,Empresa 26
Empresa 125,Empresa 7
Empresa 127,Empresa 118
Empresa 127,Empresa 115
Empresa 127,Empresa 68
Empresa 129,Empresa 24
Empresa 129,Empresa 34
Empresa 129,Empresa 6
Empresa 129,Empresa 68
Empresa 131,Empresa 35
Empresa 131,Empresa 172
Empresa 131,Empresa 0
Empresa 131,Empresa 92
Empresa 133,Empresa 90
Empresa 133,Empresa 192
Empresa 133,Empresa 195
Empresa 133,Empresa 45
Empresa 134,Empresa 153
Empresa 134,Empresa 47
Empresa 134,Empresa 42
Empresa 134,Empresa 178
Empresa 134,Empresa 138
Empresa 135,Empresa 90
Empresa 136,Empresa 70
Empresa 137,Empresa 2
Empresa 137,Empresa 26
Empresa 139,Empresa 78
Empresa 139,Empresa 104
Empresa 139,Empresa 6
Empresa 140,Empresa 18
Empresa 140,Empresa 4
Empresa 140,Empresa 68
Empresa 144,Empresa 78
Empresa 144,Empresa 15
Empresa 144,Empresa 153
Empresa 144,Empresa 149
Empresa 144,Empresa 4
Empresa 145,Empresa 24
Empresa 145,Empresa 0
Empresa 145,Empresa 132
Empresa 147,Empresa 141
Empresa 147,Empresa 49
Empresa 147,Empresa 80
Empresa 147,Empresa 195
Empresa 148,Empresa 141
Empresa 152,Empresa 151
Empresa 152,Empresa 83
Empresa 155,Empresa 132
Empresa 155,Empresa 26
Empresa 155,Empresa 150
Empresa 155,Empresa 90
Empresa 155,Empresa 62
Empresa 160,Empresa 153
Empresa 160,Empresa 118
Empresa 161,Empresa 72
Empresa 161,Empresa 85
Empresa 161,Empresa 154
Empresa 161,Empresa 98
Empresa 168,Empresa 114
Empresa 168,Empresa 15
Empresa 168,Empresa 77
Empresa 170,Empresa 100
Empresa 170,Empresa 159
Empresa 170,Empresa 99
Empresa 170,Empresa 41
Empresa 170,Empresa 52
Empresa 173,Empresa 37
Empresa 173,Empresa 15
Empresa 173,Empresa 163
Empresa 173,Empresa 99
Empresa 173,Empresa 181
Empresa 174,Empresa 104
Empresa 174,Empresa 68
Empresa 177,Empresa 60
Empresa 177,Empresa 163
Empresa 177,Empresa 35
Empresa 177,Empresa 109
Empresa 177,Empresa 101
Empresa 180,Empresa 99
Empresa 180,Empresa 121
Empresa 180,Empresa 41
Empresa 180,Empresa 14
Empresa 180,Empresa 80
Empresa 182,Empresa 184
Empresa 182,Empresa 164
Empresa 182,Empresa 181
Empresa 182,Empresa 122
Empresa 183,Empresa 181
Empresa 183,Empresa 73
Empresa 183,Empresa 151
Empresa 183,Empresa 92
Empresa 185,Empresa 54
Empresa 185,Empresa 143
Empresa 185,Empresa 100
Empresa 185,Empresa 93
Empresa 186,Empresa 192
Empresa 188,Empresa 80
Empresa 188,Empresa 49
Empresa 188,Empresa 114
Empresa 188,Empresa 82
Empresa 190,Empresa 87
Empresa 190,Empresa 158
Empresa 190,Empresa 158
Empresa 190,Empresa 28
Empresa 191,Empresa 72
Empresa 191,Empresa 187
Empresa 191,Empresa 126
Empresa 196,Empresa 14
Empresa 196,Empresa 24
Empresa 196,Empresa 94
Empresa 196,Empresa 104
Empresa 196,Empresa 23
Empresa 197,Empresa 176
Empresa 197,Empresa 33
Empresa 197,Empresa 118
Empresa 199,Empresa 6
Empresa 199,Empresa 30
Empresa 199,Empresa 122
Empresa 199,Empresa 2
Empresa 199,Empresa 179
