tienda1,tienda2,distancia,tiempo_mins,costo
Tienda 0,Tienda 84,18,18,305
Tienda 0,Tienda 85,66,44,356
Tienda 0,Tienda 86,55,89,432
Tienda 0,Tienda 87,23,17,477
Tienda 0,Tienda 88,54,26,117
Tienda 0,Tienda 89,100,4,436
Tienda 0,Tienda 90,62,84,403
Tienda 0,Tienda 91,34,18,458
Tienda 0,Tienda 92,91,3,263
Tienda 0,Tienda 93,30,95,18
Tienda 0,Tienda 94,15,69,204
Tienda 0,Tienda 95,78,36,146
Tienda 0,Tienda 96,27,90,25
Tienda 0,Tienda 97,68,28,458
Tienda 0,Tienda 98,89,73,331
Tienda 0,Tienda 99,46,3,368
Tienda 1,Tienda 0,11,80,317
Tienda 1,Tienda 2,18,65,74
Tienda 1,Tienda 3,37,59,258
Tienda 1,Tienda 4,30,46,129
Tienda 1,Tienda 5,18,2,285
Tienda 1,Tienda 6,4,95,111
Tienda 1,Tienda 7,52,73,259
Tienda 1,Tienda 8,64,1,56
Tienda 1,Tienda 9,7,67,406
Tienda 1,Tienda 10,39,18,63
Tienda 1,Tienda 11,87,81,182
Tienda 1,Tienda 12,44,38,72
Tienda 1,Tienda 13,48,84,339
Tienda 1,Tienda 14,36,80,49
Tienda 1,Tienda 15,77,5,354
Tienda 1,Tienda 16,6,50,337
Tienda 1,Tienda 17,81,1,128
Tienda 1,Tienda 18,9,76,90
Tienda 1,Tienda 19,51,55,305
Tienda 1,Tienda 20,79,88,451
Tienda 1,Tienda 21,38,21,71
Tienda 1,Tienda 22,73,19,53
Tienda 1,Tienda 23,14,20,50
Tienda 1,Tienda 24,92,60,271
Tienda 1,Tienda 25,63,13,16
Tienda 1,Tienda 26,88,50,198
Tienda 1,Tienda 27,44,88,50
Tienda 1,Tienda 28,5,59,419
Tienda 1,Tienda 29,92,43,350
Tienda 1,Tienda 30,62,98,461
Tienda 1,Tienda 31,6,92,491
Tienda 1,Tienda 32,27,87,211
Tienda 1,Tienda 33,61,69,90
Tienda 1,Tienda 34,58,88,263
Tienda 1,Tienda 35,92,94,136
Tienda 1,Tienda 36,91,87,344
Tienda 1,Tienda 37,46,80,384
Tienda 1,Tienda 38,55,70,162
Tienda 1,Tienda 39,90,55,46
Tienda 1,Tienda 40,7,3,81
Tienda 1,Tienda 41,2,84,299
Tienda 1,Tienda 42,73,68,162
Tienda 1,Tienda 43,67,61,320
Tienda 1,Tienda 44,97,95,345
Tienda 1,Tienda 45,62,54,336
Tienda 1,Tienda 46,34,41,311
Tienda 1,Tienda 47,69,93,34
Tienda 1,Tienda 48,96,18,282
Tienda 1,Tienda 49,77,86,412
Tienda 1,Tienda 50,40,74,328
Tienda 1,Tienda 51,45,23,418
Tienda 1,Tienda 52,6,5,306
Tienda 1,Tienda 53,98,69,78
Tienda 1,Tienda 54,47,73,402
Tienda 1,Tienda 55,87,28,440
Tienda 1,Tienda 56,93,43,30
Tienda 1,Tienda 57,85,5,493
Tienda 1,Tienda 58,16,86,437
Tienda 1,Tienda 59,3,100,283
Tienda 1,Tienda 60,16,44,287
Tienda 1,Tienda 61,51,39,275
Tienda 1,Tienda 62,99,93,162
Tienda 1,Tienda 63,68,97,66
Tienda 1,Tienda 64,56,30,389
Tienda 1,Tienda 65,58,4,345
Tienda 1,Tienda 66,96,51,321
Tienda 1,Tienda 67,15,10,356
Tienda 1,Tienda 68,68,34,352
Tienda 1,Tienda 69,46,40,375
Tienda 1,Tienda 70,76,14,464
Tienda 1,Tienda 71,72,80,439
Tienda 1,Tienda 72,54,64,214
Tienda 1,Tienda 73,72,9,117
Tienda 1,Tienda 74,95,77,63
Tienda 1,Tienda 75,69,68,347
Tienda 1,Tienda 76,72,20,436
Tienda 1,Tienda 77,95,77,186
Tienda 1,Tienda 78,43,70,296
Tienda 1,Tienda 79,1,39,384
Tienda 1,Tienda 80,34,64,147
Tienda 1,Tienda 81,48,24,63
Tienda 1,Tienda 82,77,90,225
Tienda 1,Tienda 83,50,80,89
Tienda 1,Tienda 84,67,90,69
Tienda 1,Tienda 85,42,26,278
Tienda 1,Tienda 86,66,28,45
Tienda 1,Tienda 87,7,12,172
Tienda 1,Tienda 88,14,31,386
Tienda 1,Tienda 89,12,21,105
Tienda 1,Tienda 90,98,39,33
Tienda 1,Tienda 91,28,38,154
Tienda 1,Tienda 92,77,64,489
Tienda 1,Tienda 93,52,44,51
Tienda 1,Tienda 94,99,24,401
Tienda 1,Tienda 95,53,34,419
Tienda 1,Tienda 96,98,96,97
Tienda 1,Tienda 97,72,68,399
Tienda 1,Tienda 98,22,28,179
Tienda 1,Tienda 99,47,57,338
Tienda 2,Tienda 0,74,12,313
Tienda 2,Tienda 1,49,51,12
Tienda 2,Tienda 3,35,50,401
Tienda 2,Tienda 4,23,50,429
Tienda 2,Tienda 5,32,1,341
Tienda 2,Tienda 6,4,46,278
Tienda 2,Tienda 7,53,94,210
Tienda 2,Tienda 8,42,42,153
Tienda 2,Tienda 9,79,35,135
Tienda 2,Tienda 10,82,61,492
Tienda 2,Tienda 11,40,55,337
Tienda 2,Tienda 12,42,12,311
Tienda 2,Tienda 13,62,11,239
Tienda 2,Tienda 14,53,3,65
Tienda 2,Tienda 15,72,98,418
Tienda 2,Tienda 16,73,19,81
Tienda 2,Tienda 17,83,19,295
Tienda 2,Tienda 18,22,49,145
Tienda 2,Tienda 19,1,40,404
Tienda 2,Tienda 20,100,24,19
Tienda 2,Tienda 21,48,81,56
Tienda 2,Tienda 22,28,88,293
Tienda 2,Tienda 23,49,81,459
Tienda 2,Tienda 24,80,86,109
Tienda 2,Tienda 25,45,79,30
Tienda 2,Tienda 26,56,14,239
Tienda 2,Tienda 27,93,42,457
Tienda 2,Tienda 28,37,33,461
Tienda 2,Tienda 29,83,72,467
Tienda 2,Tienda 30,26,48,134
Tienda 2,Tienda 31,12,28,56
Tienda 2,Tienda 32,2,62,437
Tienda 2,Tienda 33,77,72,362
Tienda 2,Tienda 34,75,75,338
Tienda 2,Tienda 35,3,28,368
Tienda 2,Tienda 36,94,71,487
Tienda 2,Tienda 37,60,19,291
Tienda 2,Tienda 38,34,41,232
Tienda 2,Tienda 39,30,56,395
Tienda 2,Tienda 40,15,31,184
Tienda 2,Tienda 41,37,53,365
Tienda 2,Tienda 42,48,26,44
Tienda 2,Tienda 43,94,47,496
Tienda 2,Tienda 44,6,26,382
Tienda 2,Tienda 45,7,9,29
Tienda 2,Tienda 46,42,72,232
Tienda 2,Tienda 47,24,39,182
Tienda 2,Tienda 48,16,52,494
Tienda 2,Tienda 49,98,73,71
Tienda 2,Tienda 50,53,77,405
Tienda 2,Tienda 51,19,70,415
Tienda 2,Tienda 52,45,28,105
Tienda 2,Tienda 53,6,59,221
Tienda 2,Tienda 54,88,13,378
Tienda 2,Tienda 55,46,58,229
Tienda 2,Tienda 56,43,46,443
Tienda 2,Tienda 57,81,32,435
Tienda 2,Tienda 58,11,58,437
Tienda 2,Tienda 59,1,30,500
Tienda 2,Tienda 60,49,4,327
Tienda 2,Tienda 61,14,7,375
Tienda 2,Tienda 62,51,88,65
Tienda 2,Tienda 63,87,2,211
Tienda 2,Tienda 64,56,21,398
Tienda 2,Tienda 65,70,5,79
Tienda 2,Tienda 66,2,28,190
Tienda 2,Tienda 67,66,79,116
Tienda 2,Tienda 68,70,30,41
Tienda 2,Tienda 69,19,85,281
Tienda 2,Tienda 70,90,57,94
Tienda 2,Tienda 71,38,25,328
Tienda 2,Tienda 72,30,47,226
Tienda 2,Tienda 73,46,81,169
Tienda 2,Tienda 74,65,24,416
Tienda 2,Tienda 75,89,10,57
Tienda 2,Tienda 76,66,16,460
Tienda 2,Tienda 77,98,31,263
Tienda 2,Tienda 78,87,6,300
Tienda 2,Tienda 79,91,81,488
Tienda 2,Tienda 80,17,38,380
Tienda 2,Tienda 81,93,5,144
Tienda 2,Tienda 82,77,53,300
Tienda 2,Tienda 83,50,36,249
Tienda 2,Tienda 84,17,81,95
Tienda 2,Tienda 85,17,12,68
Tienda 2,Tienda 86,2,56,449
Tienda 2,Tienda 87,45,96,250
Tienda 2,Tienda 88,38,75,172
Tienda 2,Tienda 89,73,61,21
Tienda 2,Tienda 90,47,63,297
Tienda 2,Tienda 91,48,27,59
Tienda 2,Tienda 92,9,86,341
Tienda 2,Tienda 93,82,18,248
Tienda 2,Tienda 94,89,83,112
Tienda 2,Tienda 95,25,64,13
Tienda 2,Tienda 96,84,82,129
Tienda 2,Tienda 97,5,11,488
Tienda 2,Tienda 98,44,60,194
Tienda 2,Tienda 99,78,40,439
Tienda 3,Tienda 0,70,44,79
Tienda 3,Tienda 1,57,86,237
Tienda 3,Tienda 2,98,7,414
Tienda 3,Tienda 4,14,26,92
Tienda 3,Tienda 5,53,69,444
Tienda 3,Tienda 6,20,81,391
Tienda 3,Tienda 7,36,100,138
Tienda 3,Tienda 8,70,95,162
Tienda 3,Tienda 9,89,65,336
Tienda 3,Tienda 10,34,22,334
Tienda 3,Tienda 11,69,52,83
Tienda 3,Tienda 12,47,18,8
Tienda 3,Tienda 13,18,65,325
Tienda 3,Tienda 14,100,47,48
Tienda 3,Tienda 15,60,4,196
Tienda 3,Tienda 16,17,40,12
Tienda 3,Tienda 17,21,32,496
Tienda 3,Tienda 18,35,39,139
Tienda 3,Tienda 19,61,68,139
Tienda 3,Tienda 20,20,68,310
Tienda 3,Tienda 21,75,4,479
Tienda 3,Tienda 22,63,67,351
Tienda 3,Tienda 23,90,74,57
Tienda 3,Tienda 24,65,40,16
Tienda 3,Tienda 25,4,85,233
Tienda 3,Tienda 26,70,63,229
Tienda 3,Tienda 27,1,51,164
Tienda 3,Tienda 28,79,15,98
Tienda 3,Tienda 29,13,33,7
Tienda 3,Tienda 30,80,99,48
Tienda 3,Tienda 31,91,1,39
Tienda 3,Tienda 32,58,71,105
Tienda 3,Tienda 33,50,26,108
Tienda 3,Tienda 34,72,85,169
Tienda 3,Tienda 35,12,67,433
Tienda 3,Tienda 36,43,3,427
Tienda 3,Tienda 37,27,87,128
Tienda 3,Tienda 38,30,39,125
Tienda 3,Tienda 39,92,15,105
Tienda 3,Tienda 40,8,20,253
Tienda 3,Tienda 41,74,74,380
Tienda 3,Tienda 42,42,55,95
Tienda 3,Tienda 43,95,33,66
Tienda 3,Tienda 44,51,76,462
Tienda 3,Tienda 45,73,74,274
Tienda 3,Tienda 46,61,86,46
Tienda 3,Tienda 47,52,67,414
Tienda 3,Tienda 48,99,62,450
Tienda 3,Tienda 49,2,82,180
Tienda 3,Tienda 50,72,63,330
Tienda 3,Tienda 51,10,71,12
Tienda 3,Tienda 52,5,39,173
Tienda 3,Tienda 53,49,94,270
Tienda 3,Tienda 54,32,40,237
Tienda 3,Tienda 55,22,81,149
Tienda 3,Tienda 56,85,93,126
Tienda 3,Tienda 57,50,94,19
Tienda 3,Tienda 58,11,10,441
Tienda 3,Tienda 59,33,63,40
Tienda 3,Tienda 60,98,7,80
Tienda 3,Tienda 61,78,48,364
Tienda 3,Tienda 62,62,88,386
Tienda 3,Tienda 63,67,63,62
Tienda 3,Tienda 64,22,82,244
Tienda 3,Tienda 65,18,35,303
Tienda 3,Tienda 66,31,79,350
Tienda 3,Tienda 67,66,29,82
Tienda 3,Tienda 68,46,25,45
Tienda 3,Tienda 69,78,54,236
Tienda 3,Tienda 70,92,47,475
Tienda 3,Tienda 71,14,28,428
Tienda 3,Tienda 72,49,87,229
Tienda 3,Tienda 73,43,4,292
Tienda 3,Tienda 74,34,98,175
Tienda 3,Tienda 75,77,38,252
Tienda 3,Tienda 76,14,89,491
Tienda 3,Tienda 77,41,58,286
Tienda 3,Tienda 78,27,63,132
Tienda 3,Tienda 79,89,94,348
Tienda 3,Tienda 80,71,86,31
Tienda 3,Tienda 81,65,81,208
Tienda 3,Tienda 82,76,51,185
Tienda 3,Tienda 83,55,87,385
Tienda 3,Tienda 84,46,65,63
Tienda 3,Tienda 85,21,47,52
Tienda 3,Tienda 86,57,78,431
Tienda 3,Tienda 87,6,18,482
Tienda 3,Tienda 88,72,33,377
Tienda 3,Tienda 89,31,68,72
Tienda 3,Tienda 90,93,96,30
Tienda 3,Tienda 91,87,16,446
Tienda 3,Tienda 92,22,48,119
Tienda 3,Tienda 93,72,1,181
Tienda 3,Tienda 94,57,9,467
Tienda 3,Tienda 95,91,39,349
Tienda 3,Tienda 96,29,16,481
Tienda 3,Tienda 97,15,9,146
Tienda 3,Tienda 98,5,32,88
Tienda 3,Tienda 99,66,99,340
Tienda 4,Tienda 0,24,59,225
Tienda 4,Tienda 1,42,43,370
Tienda 4,Tienda 2,38,29,392
Tienda 4,Tienda 3,57,59,5
Tienda 4,Tienda 5,61,8,222
Tienda 4,Tienda 6,79,48,450
Tienda 4,Tienda 7,69,54,225
Tienda 4,Tienda 8,2,54,268
Tienda 4,Tienda 9,65,92,477
Tienda 4,Tienda 10,96,47,233
Tienda 4,Tienda 11,61,3,271
Tienda 4,Tienda 12,55,4,455
Tienda 4,Tienda 13,29,26,230
Tienda 4,Tienda 14,6,88,220
Tienda 4,Tienda 15,72,39,79
Tienda 4,Tienda 16,28,77,370
Tienda 4,Tienda 17,74,75,303
Tienda 4,Tienda 18,31,47,156
Tienda 4,Tienda 19,31,52,247
Tienda 4,Tienda 20,13,38,166
Tienda 4,Tienda 21,64,100,264
Tienda 4,Tienda 22,84,14,314
Tienda 4,Tienda 23,85,65,370
Tienda 4,Tienda 24,59,13,300
Tienda 4,Tienda 25,74,4,99
Tienda 4,Tienda 26,26,81,183
Tienda 4,Tienda 27,17,80,311
Tienda 4,Tienda 28,38,47,270
Tienda 4,Tienda 29,78,31,34
Tienda 4,Tienda 30,98,74,172
Tienda 4,Tienda 31,92,45,117
Tienda 4,Tienda 32,97,5,382
Tienda 4,Tienda 33,23,89,296
Tienda 4,Tienda 34,43,75,441
Tienda 4,Tienda 35,85,66,411
Tienda 4,Tienda 36,59,86,332
Tienda 4,Tienda 37,75,35,166
Tienda 4,Tienda 38,8,59,108
Tienda 4,Tienda 39,39,8,413
Tienda 4,Tienda 40,16,40,194
Tienda 4,Tienda 41,58,48,407
Tienda 4,Tienda 42,57,64,51
Tienda 4,Tienda 43,27,39,52
Tienda 4,Tienda 44,88,7,185
Tienda 4,Tienda 45,40,85,218
Tienda 4,Tienda 46,96,67,282
Tienda 4,Tienda 47,39,30,327
Tienda 4,Tienda 48,86,98,186
Tienda 4,Tienda 49,53,65,307
Tienda 4,Tienda 50,93,58,378
Tienda 4,Tienda 51,73,25,402
Tienda 4,Tienda 52,96,68,333
Tienda 4,Tienda 53,67,23,113
Tienda 4,Tienda 54,16,42,121
Tienda 4,Tienda 55,74,13,387
Tienda 4,Tienda 56,89,12,147
Tienda 4,Tienda 57,32,39,107
Tienda 4,Tienda 58,8,2,157
Tienda 4,Tienda 59,2,51,219
Tienda 4,Tienda 60,17,39,324
Tienda 4,Tienda 61,34,72,395
Tienda 4,Tienda 62,49,25,161
Tienda 4,Tienda 63,37,9,286
Tienda 4,Tienda 64,39,39,325
Tienda 4,Tienda 65,23,21,380
Tienda 4,Tienda 66,99,35,365
Tienda 4,Tienda 67,53,86,116
Tienda 4,Tienda 68,94,28,92
Tienda 4,Tienda 69,98,2,27
Tienda 4,Tienda 70,72,12,390
Tienda 4,Tienda 71,80,45,378
Tienda 4,Tienda 72,32,1,134
Tienda 4,Tienda 73,100,57,142
Tienda 4,Tienda 74,95,37,312
Tienda 4,Tienda 75,84,54,68
Tienda 4,Tienda 76,74,33,468
Tienda 4,Tienda 77,81,61,235
Tienda 4,Tienda 78,32,88,374
Tienda 4,Tienda 79,71,79,313
Tienda 4,Tienda 80,2,55,318
Tienda 4,Tienda 81,96,21,196
Tienda 4,Tienda 82,41,38,260
Tienda 4,Tienda 83,86,89,322
Tienda 4,Tienda 84,96,95,121
Tienda 4,Tienda 85,54,50,240
Tienda 4,Tienda 86,91,59,74
Tienda 4,Tienda 87,47,92,67
Tienda 4,Tienda 88,52,40,176
Tienda 4,Tienda 89,34,29,166
Tienda 4,Tienda 90,2,84,182
Tienda 4,Tienda 91,22,34,329
Tienda 4,Tienda 92,20,79,161
Tienda 4,Tienda 93,4,40,27
Tienda 4,Tienda 94,49,85,134
Tienda 4,Tienda 95,1,38,233
Tienda 4,Tienda 96,80,21,38
Tienda 4,Tienda 97,44,96,113
Tienda 4,Tienda 98,14,88,361
Tienda 4,Tienda 99,46,76,307
Tienda 5,Tienda 0,59,86,274
Tienda 5,Tienda 1,69,45,324
Tienda 5,Tienda 2,5,54,43
Tienda 5,Tienda 3,8,90,141
Tienda 5,Tienda 4,19,62,473
Tienda 5,Tienda 6,36,96,472
Tienda 5,Tienda 7,52,25,183
Tienda 5,Tienda 8,87,2,423
Tienda 5,Tienda 9,22,86,337
Tienda 5,Tienda 10,5,99,95
Tienda 5,Tienda 11,47,55,380
Tienda 5,Tienda 12,79,35,463
Tienda 5,Tienda 13,100,7,390
Tienda 5,Tienda 14,10,61,182
Tienda 5,Tienda 15,56,6,414
Tienda 5,Tienda 16,20,47,363
Tienda 5,Tienda 17,80,86,19
Tienda 5,Tienda 18,95,73,348
Tienda 5,Tienda 19,71,47,234
Tienda 5,Tienda 20,85,72,48
Tienda 5,Tienda 21,86,26,111
Tienda 5,Tienda 22,17,20,36
Tienda 5,Tienda 23,61,32,154
Tienda 5,Tienda 24,18,80,179
Tienda 5,Tienda 25,90,4,22
Tienda 5,Tienda 26,99,22,28
Tienda 5,Tienda 27,17,26,311
Tienda 5,Tienda 28,50,27,76
Tienda 5,Tienda 29,91,47,96
Tienda 5,Tienda 30,42,66,232
Tienda 5,Tienda 31,63,23,268
Tienda 5,Tienda 32,45,95,123
Tienda 5,Tienda 33,23,95,287
Tienda 5,Tienda 34,32,85,249
Tienda 5,Tienda 35,43,18,7
Tienda 5,Tienda 36,61,89,359
Tienda 5,Tienda 37,66,95,140
Tienda 5,Tienda 38,95,46,385
Tienda 5,Tienda 39,55,22,21
Tienda 5,Tienda 40,80,94,246
Tienda 5,Tienda 41,22,58,302
Tienda 5,Tienda 42,15,30,438
Tienda 5,Tienda 43,87,38,447
Tienda 5,Tienda 44,87,79,83
Tienda 5,Tienda 45,13,81,239
Tienda 5,Tienda 46,15,52,124
Tienda 5,Tienda 47,15,13,281
Tienda 5,Tienda 48,93,87,168
Tienda 5,Tienda 49,28,45,307
Tienda 5,Tienda 50,69,13,271
Tienda 5,Tienda 51,69,79,97
Tienda 5,Tienda 52,44,8,221
Tienda 5,Tienda 53,39,83,352
Tienda 5,Tienda 54,48,50,56
Tienda 5,Tienda 55,94,19,471
Tienda 5,Tienda 56,61,3,342
Tienda 5,Tienda 57,41,57,133
Tienda 5,Tienda 58,30,6,358
Tienda 5,Tienda 59,69,38,114
Tienda 5,Tienda 60,55,10,399
Tienda 5,Tienda 61,74,97,122
Tienda 5,Tienda 62,6,85,164
Tienda 5,Tienda 63,42,67,484
Tienda 5,Tienda 64,36,6,395
Tienda 5,Tienda 65,31,16,379
Tienda 5,Tienda 66,18,25,212
Tienda 5,Tienda 67,83,58,446
Tienda 5,Tienda 68,45,68,205
Tienda 5,Tienda 69,50,6,302
Tienda 5,Tienda 70,98,41,260
Tienda 5,Tienda 71,12,24,386
Tienda 5,Tienda 72,62,20,361
Tienda 5,Tienda 73,85,36,393
Tienda 5,Tienda 74,97,57,352
Tienda 5,Tienda 75,2,23,16
Tienda 5,Tienda 76,29,16,424
Tienda 5,Tienda 77,57,99,19
Tienda 5,Tienda 78,43,56,171
Tienda 5,Tienda 79,65,74,139
Tienda 5,Tienda 80,35,40,307
Tienda 5,Tienda 81,68,62,160
Tienda 5,Tienda 82,26,1,118
Tienda 5,Tienda 83,99,36,473
Tienda 5,Tienda 84,84,37,108
Tienda 5,Tienda 85,52,21,110
Tienda 5,Tienda 86,26,47,281
Tienda 5,Tienda 87,79,76,313
Tienda 5,Tienda 88,41,16,90
Tienda 5,Tienda 89,88,29,179
Tienda 5,Tienda 90,59,66,174
Tienda 5,Tienda 91,66,22,459
Tienda 5,Tienda 92,33,10,117
Tienda 5,Tienda 93,4,65,467
Tienda 5,Tienda 94,70,23,62
Tienda 5,Tienda 95,7,100,444
Tienda 5,Tienda 96,54,78,42
Tienda 5,Tienda 97,60,76,210
Tienda 5,Tienda 98,84,26,169
Tienda 5,Tienda 99,53,49,342
Tienda 6,Tienda 0,21,93,343
Tienda 6,Tienda 1,20,9,492
Tienda 6,Tienda 2,48,85,69
Tienda 6,Tienda 3,77,87,248
Tienda 6,Tienda 4,6,86,176
Tienda 6,Tienda 5,7,93,432
Tienda 6,Tienda 7,16,15,412
Tienda 6,Tienda 8,95,44,40
Tienda 6,Tienda 9,76,91,467
Tienda 6,Tienda 10,76,71,151
Tienda 6,Tienda 11,56,51,99
Tienda 6,Tienda 12,48,6,377
Tienda 6,Tienda 13,22,84,410
Tienda 6,Tienda 14,41,4,452
Tienda 6,Tienda 15,40,25,254
Tienda 6,Tienda 16,93,69,346
Tienda 6,Tienda 17,47,13,176
Tienda 6,Tienda 18,39,88,391
Tienda 6,Tienda 19,18,91,339
Tienda 6,Tienda 20,12,45,410
Tienda 6,Tienda 21,9,53,405
Tienda 6,Tienda 22,44,65,423
Tienda 6,Tienda 23,98,53,491
Tienda 6,Tienda 24,93,74,433
Tienda 6,Tienda 25,62,19,151
Tienda 6,Tienda 26,34,34,62
Tienda 6,Tienda 27,46,2,327
Tienda 6,Tienda 28,70,21,197
Tienda 6,Tienda 29,48,97,341
Tienda 6,Tienda 30,35,67,285
Tienda 6,Tienda 31,17,14,359
Tienda 6,Tienda 32,20,36,332
Tienda 6,Tienda 33,29,96,204
Tienda 6,Tienda 34,56,51,350
Tienda 6,Tienda 35,78,38,102
Tienda 6,Tienda 36,65,63,126
Tienda 6,Tienda 37,32,65,195
Tienda 6,Tienda 38,7,42,452
Tienda 6,Tienda 39,30,64,284
Tienda 6,Tienda 40,97,60,388
Tienda 6,Tienda 41,40,29,377
Tienda 6,Tienda 42,70,50,437
Tienda 6,Tienda 43,85,28,165
Tienda 6,Tienda 44,57,3,164
Tienda 6,Tienda 45,80,46,213
Tienda 6,Tienda 46,65,60,241
Tienda 6,Tienda 47,65,80,356
Tienda 6,Tienda 48,63,60,308
Tienda 6,Tienda 49,17,7,228
Tienda 6,Tienda 50,20,69,80
Tienda 6,Tienda 51,18,49,462
Tienda 6,Tienda 52,97,65,275
Tienda 6,Tienda 53,35,37,489
Tienda 6,Tienda 54,90,19,469
Tienda 6,Tienda 55,92,98,421
Tienda 6,Tienda 56,67,3,134
Tienda 6,Tienda 57,49,95,345
Tienda 6,Tienda 58,54,58,312
Tienda 6,Tienda 59,89,17,246
Tienda 6,Tienda 60,88,69,456
Tienda 6,Tienda 61,48,90,391
Tienda 6,Tienda 62,65,94,410
Tienda 6,Tienda 63,54,64,341
Tienda 6,Tienda 64,23,42,476
Tienda 6,Tienda 65,61,14,72
Tienda 6,Tienda 66,20,72,146
Tienda 6,Tienda 67,94,83,306
Tienda 6,Tienda 68,3,92,26
Tienda 6,Tienda 69,60,76,339
Tienda 6,Tienda 70,38,44,50
Tienda 6,Tienda 71,89,69,88
Tienda 6,Tienda 72,39,72,242
Tienda 6,Tienda 73,30,34,61
Tienda 6,Tienda 74,94,14,466
Tienda 6,Tienda 75,87,88,494
Tienda 6,Tienda 76,27,77,203
Tienda 6,Tienda 77,90,68,332
Tienda 6,Tienda 78,68,10,130
Tienda 6,Tienda 79,2,35,187
Tienda 6,Tienda 80,85,83,339
Tienda 6,Tienda 81,74,42,307
Tienda 6,Tienda 82,39,86,321
Tienda 6,Tienda 83,44,30,475
Tienda 6,Tienda 84,81,43,473
Tienda 6,Tienda 85,74,91,367
Tienda 6,Tienda 86,84,63,191
Tienda 6,Tienda 87,90,10,341
Tienda 6,Tienda 88,50,83,292
Tienda 6,Tienda 89,20,42,142
Tienda 6,Tienda 90,26,7,137
Tienda 6,Tienda 91,3,56,218
Tienda 6,Tienda 92,100,89,462
Tienda 6,Tienda 93,15,15,194
Tienda 6,Tienda 94,76,8,194
Tienda 6,Tienda 95,85,87,284
Tienda 6,Tienda 96,36,53,389
Tienda 6,Tienda 97,100,41,199
Tienda 6,Tienda 98,28,59,262
Tienda 6,Tienda 99,29,15,210
Tienda 7,Tienda 0,82,63,136
Tienda 7,Tienda 1,89,12,170
Tienda 7,Tienda 2,39,50,292
Tienda 7,Tienda 3,89,78,28
