almacen,producto,cantidad,shelfTimePromedioDias,bloque
Almacen 0,Producto 95,27,29.88,C-1
Almacen 0,Producto 96,75,2.37,H-8
Almacen 0,Producto 97,45,23.06,E-2
Almacen 0,Producto 98,61,25.2,B-6
Almacen 0,Producto 99,16,1.52,A-2
Almacen 0,Producto 100,69,24.97,A-3
Almacen 0,Producto 101,6,16.0,B-3
Almacen 0,Producto 102,32,18.68,F-1
Almacen 0,Producto 103,36,16.0,B-3
Almacen 0,Producto 104,16,22.01,G-5
Almacen 0,Producto 105,32,26.74,B-5
Almacen 0,Producto 106,61,22.54,H-4
Almacen 0,Producto 107,81,14.48,D-8
Almacen 0,Producto 108,70,24.68,B-7
Almacen 0,Producto 109,64,5.1,A-6
Almacen 0,Producto 110,7,6.65,D-3
Almacen 0,Producto 111,39,18.6,D-3
Almacen 0,Producto 112,55,4.72,H-7
Almacen 0,Producto 113,65,17.04,C-7
Almacen 0,Producto 114,89,26.72,A-3
Almacen 0,Producto 115,45,26.6,C-6
Almacen 0,Producto 116,21,10.53,B-1
Almacen 0,Producto 117,93,12.53,D-2
Almacen 0,Producto 118,40,18.93,F-3
Almacen 0,Producto 119,93,16.69,G-4
Almacen 0,Producto 120,27,28.47,C-4
Almacen 0,Producto 121,84,20.54,C-5
Almacen 0,Producto 122,80,17.64,B-7
Almacen 0,Producto 123,82,6.44,E-1
Almacen 0,Producto 124,65,9.3,G-6
Almacen 0,Producto 125,94,4.13,G-1
Almacen 0,Producto 126,18,14.66,B-4
Almacen 0,Producto 127,98,26.18,G-5
Almacen 0,Producto 128,59,22.85,B-1
Almacen 0,Producto 129,56,18.22,D-8
Almacen 0,Producto 130,56,10.83,D-1
Almacen 0,Producto 131,46,25.88,C-7
Almacen 0,Producto 132,76,21.37,C-5
Almacen 0,Producto 133,22,1.43,H-5
Almacen 0,Producto 134,62,12.95,F-2
Almacen 0,Producto 135,7,21.29,G-4
Almacen 0,Producto 136,13,15.19,H-2
Almacen 0,Producto 137,17,19.51,A-3
Almacen 0,Producto 138,56,22.43,A-4
Almacen 0,Producto 139,60,29.13,D-4
Almacen 0,Producto 140,44,26.59,H-3
Almacen 0,Producto 141,19,11.78,G-2
Almacen 0,Producto 142,35,20.24,G-7
Almacen 0,Producto 143,41,29.18,H-5
Almacen 0,Producto 144,16,5.69,A-8
Almacen 0,Producto 145,31,11.9,B-8
Almacen 0,Producto 146,9,19.4,H-3
Almacen 0,Producto 147,18,3.51,D-4
Almacen 0,Producto 148,99,23.57,D-7
Almacen 0,Producto 149,69,12.63,C-6
Almacen 0,Producto 150,22,11.81,F-2
Almacen 0,Producto 151,71,21.06,E-8
Almacen 0,Producto 152,81,29.92,H-2
Almacen 0,Producto 153,94,8.0,H-7
Almacen 0,Producto 154,61,9.03,E-6
Almacen 0,Producto 155,73,20.3,C-2
Almacen 0,Producto 156,85,29.5,G-4
Almacen 0,Producto 157,12,6.99,H-1
Almacen 0,Producto 158,91,22.93,D-5
Almacen 0,Producto 159,83,26.23,D-8
Almacen 0,Producto 160,65,15.74,B-8
Almacen 0,Producto 161,71,26.88,D-6
Almacen 0,Producto 162,97,21.69,B-4
Almacen 0,Producto 163,52,4.29,D-6
Almacen 0,Producto 164,20,11.47,H-3
Almacen 0,Producto 165,92,28.71,H-1
Almacen 0,Producto 166,91,24.68,E-2
Almacen 0,Producto 167,36,3.72,B-4
Almacen 0,Producto 168,62,19.63,B-8
Almacen 0,Producto 169,60,10.67,A-7
Almacen 0,Producto 170,8,22.66,B-2
Almacen 0,Producto 171,39,8.88,C-7
Almacen 0,Producto 172,75,10.73,D-7
Almacen 0,Producto 173,41,21.24,D-6
Almacen 0,Producto 174,94,3.15,A-4
Almacen 0,Producto 175,59,5.61,C-2
Almacen 0,Producto 176,14,28.86,H-1
Almacen 0,Producto 177,86,10.98,E-4
Almacen 0,Producto 178,11,5.16,B-1
Almacen 0,Producto 179,99,10.4,B-2
Almacen 0,Producto 180,99,25.18,C-6
Almacen 0,Producto 181,66,21.59,H-5
Almacen 0,Producto 182,11,26.6,C-1
Almacen 0,Producto 183,59,2.22,D-8
Almacen 0,Producto 184,36,3.62,C-3
Almacen 0,Producto 185,65,14.68,A-1
Almacen 0,Producto 186,98,5.53,A-2
Almacen 0,Producto 187,100,29.35,F-3
Almacen 0,Producto 188,28,5.2,A-2
Almacen 0,Producto 189,18,16.25,H-7
Almacen 0,Producto 190,87,17.47,E-7
Almacen 0,Producto 191,58,20.12,C-4
Almacen 0,Producto 192,43,3.68,D-6
Almacen 0,Producto 193,13,14.53,F-6
Almacen 0,Producto 194,67,25.9,E-4
Almacen 0,Producto 195,3,6.19,A-5
Almacen 0,Producto 196,51,23.63,B-7
Almacen 0,Producto 197,4,27.59,G-1
Almacen 0,Producto 198,68,14.15,A-8
Almacen 0,Producto 199,52,17.46,B-1
Almacen 0,Producto 200,69,17.25,C-2
Almacen 0,Producto 201,25,15.05,C-4
Almacen 0,Producto 202,21,18.31,G-3
Almacen 0,Producto 203,98,1.49,C-6
Almacen 0,Producto 204,63,21.79,B-2
Almacen 0,Producto 205,52,21.68,A-5
Almacen 0,Producto 206,0,3.28,F-3
Almacen 0,Producto 207,12,22.1,F-4
Almacen 0,Producto 208,47,10.64,E-7
Almacen 0,Producto 209,99,4.27,C-7
Almacen 0,Producto 210,60,2.3,H-8
Almacen 0,Producto 211,87,17.74,G-4
Almacen 0,Producto 212,31,7.56,H-2
Almacen 0,Producto 213,80,13.58,B-1
Almacen 0,Producto 214,47,19.69,E-6
Almacen 0,Producto 215,68,22.21,H-4
Almacen 0,Producto 216,51,29.02,B-8
Almacen 0,Producto 217,0,21.53,A-2
Almacen 0,Producto 218,33,4.17,H-5
Almacen 0,Producto 219,8,6.74,E-1
Almacen 0,Producto 220,93,9.52,D-6
Almacen 0,Producto 221,95,11.36,C-7
Almacen 0,Producto 222,66,16.67,A-5
Almacen 0,Producto 223,27,10.89,A-4
Almacen 0,Producto 224,91,9.22,H-8
Almacen 0,Producto 225,13,7.52,H-8
Almacen 0,Producto 226,49,22.31,B-3
Almacen 0,Producto 227,85,28.36,G-2
Almacen 0,Producto 228,18,7.35,G-5
Almacen 0,Producto 229,34,3.21,F-2
Almacen 0,Producto 230,27,16.3,F-4
Almacen 0,Producto 231,31,10.87,H-4
Almacen 0,Producto 232,33,22.7,G-5
Almacen 0,Producto 233,20,24.57,H-6
Almacen 0,Producto 234,22,12.7,H-2
Almacen 0,Producto 235,12,23.05,B-7
Almacen 0,Producto 236,69,6.17,E-1
Almacen 0,Producto 237,63,21.03,A-2
Almacen 0,Producto 238,78,27.69,F-7
Almacen 0,Producto 239,17,23.25,F-2
Almacen 0,Producto 240,4,21.34,G-6
Almacen 0,Producto 241,38,16.2,F-3
Almacen 0,Producto 242,29,25.53,G-5
Almacen 0,Producto 243,38,16.95,F-2
Almacen 0,Producto 244,15,26.59,A-7
Almacen 0,Producto 245,2,18.77,A-8
Almacen 0,Producto 246,31,14.18,D-4
Almacen 0,Producto 247,70,14.78,B-1
Almacen 0,Producto 248,36,11.69,C-4
Almacen 0,Producto 249,69,1.42,D-8
Almacen 0,Producto 250,58,19.99,D-5
Almacen 0,Producto 251,7,11.32,G-1
Almacen 0,Producto 252,16,12.75,D-5
Almacen 0,Producto 253,98,5.86,D-8
Almacen 0,Producto 254,95,25.1,H-6
Almacen 0,Producto 255,21,21.31,F-3
Almacen 0,Producto 256,68,10.12,C-4
Almacen 0,Producto 257,4,13.86,H-2
Almacen 0,Producto 258,77,28.52,H-1
Almacen 0,Producto 259,62,13.22,B-7
Almacen 0,Producto 260,55,11.46,D-2
Almacen 0,Producto 261,25,22.4,A-5
Almacen 0,Producto 262,27,22.82,H-1
Almacen 0,Producto 263,41,22.0,C-7
Almacen 0,Producto 264,3,9.25,H-7
Almacen 0,Producto 265,50,16.06,C-5
Almacen 0,Producto 266,32,10.72,H-2
Almacen 0,Producto 267,31,3.49,E-7
Almacen 0,Producto 268,43,29.93,G-6
Almacen 0,Producto 269,40,18.55,G-5
Almacen 0,Producto 270,18,15.98,H-5
Almacen 0,Producto 271,71,13.19,E-1
Almacen 0,Producto 272,62,13.34,D-4
Almacen 0,Producto 273,56,25.06,C-8
Almacen 0,Producto 274,87,23.56,B-7
Almacen 0,Producto 275,35,19.1,E-2
Almacen 0,Producto 276,53,19.86,A-6
Almacen 0,Producto 277,31,26.03,B-6
Almacen 0,Producto 278,29,23.55,H-7
Almacen 0,Producto 279,81,16.57,G-7
Almacen 0,Producto 280,80,1.84,G-4
Almacen 0,Producto 281,8,17.13,D-2
Almacen 0,Producto 282,18,23.96,A-4
Almacen 0,Producto 283,51,16.3,A-1
Almacen 0,Producto 284,45,7.77,H-7
Almacen 0,Producto 285,24,28.59,E-6
Almacen 0,Producto 286,39,10.43,E-5
Almacen 0,Producto 287,71,12.14,A-5
Almacen 0,Producto 288,15,13.05,D-4
Almacen 0,Producto 289,75,3.55,H-4
Almacen 0,Producto 290,56,3.3,A-3
Almacen 0,Producto 291,0,24.65,D-2
Almacen 0,Producto 292,25,27.18,B-1
Almacen 0,Producto 293,36,25.99,C-3
Almacen 0,Producto 294,73,18.21,D-1
Almacen 0,Producto 295,11,18.91,B-7
Almacen 0,Producto 296,61,17.58,D-4
Almacen 0,Producto 297,94,7.07,A-6
Almacen 0,Producto 298,26,5.28,D-8
Almacen 0,Producto 299,62,19.18,A-7
Almacen 0,Producto 300,35,4.33,G-7
Almacen 0,Producto 301,94,17.57,B-7
Almacen 0,Producto 302,81,10.2,F-1
Almacen 0,Producto 303,65,19.17,B-3
Almacen 0,Producto 304,35,14.19,G-4
Almacen 0,Producto 305,72,25.3,B-5
Almacen 0,Producto 306,12,15.69,F-2
Almacen 0,Producto 307,40,18.88,F-7
Almacen 0,Producto 308,86,8.2,H-7
Almacen 0,Producto 309,75,20.7,H-8
Almacen 0,Producto 310,48,17.56,E-1
Almacen 0,Producto 311,7,22.2,G-6
Almacen 0,Producto 312,54,9.54,G-5
Almacen 0,Producto 313,83,1.85,E-3
Almacen 0,Producto 314,77,8.47,B-4
Almacen 0,Producto 315,34,16.47,H-4
Almacen 0,Producto 316,30,22.34,A-1
Almacen 0,Producto 317,8,6.92,E-5
Almacen 0,Producto 318,67,29.19,F-2
Almacen 0,Producto 319,51,1.27,G-3
Almacen 0,Producto 320,28,29.1,B-3
Almacen 0,Producto 321,70,7.36,C-8
Almacen 0,Producto 322,58,9.29,D-3
Almacen 0,Producto 323,91,27.26,A-1
Almacen 0,Producto 324,80,7.65,B-1
Almacen 0,Producto 325,52,11.66,G-6
Almacen 0,Producto 326,93,27.9,F-3
Almacen 0,Producto 327,48,16.11,F-3
Almacen 0,Producto 328,47,4.46,D-5
Almacen 0,Producto 329,45,6.1,H-8
Almacen 0,Producto 330,88,16.15,D-7
Almacen 0,Producto 331,35,8.15,B-4
Almacen 0,Producto 332,12,7.76,H-1
Almacen 0,Producto 333,68,21.84,G-1
Almacen 0,Producto 334,43,4.12,F-3
Almacen 0,Producto 335,60,16.0,E-7
Almacen 0,Producto 336,51,9.54,E-8
Almacen 0,Producto 337,54,11.77,B-2
Almacen 0,Producto 338,67,18.54,H-5
Almacen 0,Producto 339,92,11.98,F-5
Almacen 0,Producto 340,79,21.33,G-5
Almacen 0,Producto 341,80,10.81,E-1
Almacen 0,Producto 342,90,29.68,G-3
Almacen 0,Producto 343,57,3.41,D-1
Almacen 0,Producto 344,99,26.47,G-4
Almacen 0,Producto 345,14,26.38,A-8
Almacen 0,Producto 346,61,17.77,A-2
Almacen 0,Producto 347,23,11.19,H-5
Almacen 0,Producto 348,58,11.28,B-4
Almacen 0,Producto 349,63,20.74,D-6
Almacen 0,Producto 350,22,16.68,C-3
Almacen 0,Producto 351,99,16.75,C-7
Almacen 0,Producto 352,75,2.8,F-5
Almacen 0,Producto 353,62,27.58,H-7
Almacen 0,Producto 354,9,27.84,B-6
Almacen 0,Producto 355,0,14.16,C-2
Almacen 0,Producto 356,78,14.23,B-6
Almacen 0,Producto 357,50,21.07,G-8
Almacen 0,Producto 358,64,13.2,H-3
Almacen 0,Producto 359,6,18.92,B-1
Almacen 0,Producto 360,39,13.53,B-1
Almacen 0,Producto 361,70,4.46,C-3
Almacen 0,Producto 362,16,16.03,F-6
Almacen 0,Producto 363,63,25.18,C-3
Almacen 0,Producto 364,16,12.0,E-4
Almacen 0,Producto 365,34,29.07,B-5
Almacen 0,Producto 366,13,13.44,C-6
Almacen 0,Producto 367,30,12.07,A-1
Almacen 0,Producto 368,80,19.98,F-8
Almacen 0,Producto 369,8,18.86,A-5
Almacen 0,Producto 370,62,2.32,A-8
Almacen 0,Producto 371,98,26.14,B-7
Almacen 0,Producto 372,11,14.66,B-6
Almacen 0,Producto 373,2,14.24,D-2
Almacen 0,Producto 374,23,2.75,G-6
Almacen 0,Producto 375,6,23.27,D-6
Almacen 0,Producto 376,9,24.1,G-4
Almacen 0,Producto 377,23,3.0,E-4
Almacen 0,Producto 378,40,9.71,D-4
Almacen 0,Producto 379,58,28.87,G-8
Almacen 0,Producto 380,47,1.91,D-7
Almacen 0,Producto 381,71,4.09,C-4
Almacen 0,Producto 382,38,26.37,B-5
Almacen 0,Producto 383,73,13.69,B-1
Almacen 0,Producto 384,48,6.57,B-1
Almacen 0,Producto 385,72,16.91,G-2
Almacen 0,Producto 386,68,27.71,A-7
Almacen 0,Producto 387,86,24.68,D-5
Almacen 0,Producto 388,95,15.58,H-8
Almacen 0,Producto 389,30,9.7,H-1
Almacen 0,Producto 390,34,16.66,E-6
Almacen 0,Producto 391,60,17.45,D-6
Almacen 0,Producto 392,59,8.53,C-8
Almacen 0,Producto 393,7,25.68,B-5
Almacen 0,Producto 394,98,22.15,F-5
Almacen 0,Producto 395,65,3.07,G-4
Almacen 0,Producto 396,53,8.23,C-2
Almacen 0,Producto 397,25,1.33,B-7
Almacen 0,Producto 398,32,17.75,H-5
Almacen 0,Producto 399,41,3.96,D-3
Almacen 0,Producto 400,96,14.5,D-7
Almacen 0,Producto 401,36,3.56,A-3
Almacen 0,Producto 402,97,7.89,E-6
Almacen 0,Producto 403,98,12.86,E-8
Almacen 0,Producto 404,49,7.28,H-4
Almacen 0,Producto 405,46,10.79,A-6
Almacen 0,Producto 406,32,2.12,G-8
Almacen 0,Producto 407,84,23.76,H-5
Almacen 0,Producto 408,26,14.88,B-8
Almacen 0,Producto 409,62,11.47,B-2
Almacen 0,Producto 410,83,28.28,F-6
Almacen 0,Producto 411,28,11.61,E-6
Almacen 0,Producto 412,1,27.76,D-3
Almacen 0,Producto 413,88,21.08,B-1
Almacen 0,Producto 414,17,19.28,C-3
Almacen 0,Producto 415,83,13.22,F-4
Almacen 0,Producto 416,68,24.98,D-6
Almacen 0,Producto 417,22,28.9,G-1
Almacen 0,Producto 418,60,11.84,C-3
Almacen 0,Producto 419,39,20.13,C-7
Almacen 0,Producto 420,81,22.11,A-8
Almacen 0,Producto 421,53,18.21,C-1
Almacen 0,Producto 422,19,1.38,F-3
Almacen 0,Producto 423,16,25.88,F-6
Almacen 0,Producto 424,99,3.6,F-1
Almacen 0,Producto 425,95,15.14,H-6
Almacen 0,Producto 426,30,5.74,H-2
Almacen 0,Producto 427,38,12.75,B-8
Almacen 0,Producto 428,100,28.9,E-8
Almacen 0,Producto 429,52,7.37,E-4
Almacen 0,Producto 430,83,12.25,E-3
Almacen 0,Producto 431,75,22.07,C-4
Almacen 0,Producto 432,82,20.8,H-4
Almacen 0,Producto 433,100,24.67,E-8
Almacen 0,Producto 434,59,16.4,D-7
Almacen 0,Producto 435,46,25.65,H-5
Almacen 0,Producto 436,16,27.09,H-2
Almacen 0,Producto 437,32,12.75,B-2
Almacen 0,Producto 438,47,8.84,F-7
Almacen 0,Producto 439,51,19.39,C-2
Almacen 0,Producto 440,33,8.08,A-1
Almacen 0,Producto 441,4,6.59,A-8
Almacen 0,Producto 442,49,17.8,H-2
Almacen 0,Producto 443,39,23.63,G-7
Almacen 0,Producto 444,21,15.75,D-7
Almacen 0,Producto 445,34,22.03,D-8
Almacen 0,Producto 446,36,23.21,B-8
Almacen 0,Producto 447,97,11.39,C-3
Almacen 0,Producto 448,66,13.42,F-3
Almacen 0,Producto 449,64,18.17,B-4
Almacen 0,Producto 450,94,10.83,A-4
Almacen 0,Producto 451,58,5.01,H-6
Almacen 0,Producto 452,57,16.92,F-8
Almacen 0,Producto 453,94,8.39,C-1
Almacen 0,Producto 454,75,5.94,C-5
Almacen 0,Producto 455,69,3.48,A-6
Almacen 0,Producto 456,51,15.54,G-4
Almacen 0,Producto 457,96,8.65,H-2
Almacen 0,Producto 458,48,28.04,D-3
Almacen 0,Producto 459,93,21.12,A-1
Almacen 0,Producto 460,58,20.08,H-4
Almacen 0,Producto 461,14,2.23,C-4
Almacen 0,Producto 462,86,6.43,C-8
Almacen 0,Producto 463,80,17.56,C-1
Almacen 0,Producto 464,31,15.16,D-8
Almacen 0,Producto 465,16,16.28,E-7
Almacen 0,Producto 466,56,21.63,F-4
Almacen 0,Producto 467,46,14.9,H-6
Almacen 0,Producto 468,18,14.35,H-7
Almacen 0,Producto 469,14,7.14,B-6
Almacen 0,Producto 470,77,4.3,D-2
Almacen 0,Producto 471,43,4.76,G-4
Almacen 0,Producto 472,30,16.1,C-2
Almacen 0,Producto 473,66,9.65,D-8
Almacen 0,Producto 474,17,11.56,C-5
Almacen 0,Producto 475,10,17.62,A-3
Almacen 0,Producto 476,48,27.95,B-8
Almacen 0,Producto 477,46,6.38,C-4
Almacen 0,Producto 478,92,26.12,B-3
Almacen 0,Producto 479,85,13.17,A-6
Almacen 0,Producto 480,91,18.31,E-6
Almacen 0,Producto 481,46,28.88,E-8
Almacen 0,Producto 482,12,29.83,B-8
Almacen 0,Producto 483,47,15.77,E-7
Almacen 0,Producto 484,24,25.36,H-7
Almacen 0,Producto 485,23,2.76,G-2
Almacen 0,Producto 486,96,8.49,G-8
Almacen 0,Producto 487,99,13.24,G-1
Almacen 0,Producto 488,41,5.61,A-3
Almacen 0,Producto 489,48,8.6,C-2
Almacen 0,Producto 490,52,16.27,C-2
Almacen 0,Producto 491,53,7.24,E-7
Almacen 0,Producto 492,5,1.54,C-5
Almacen 0,Producto 493,59,18.09,F-4
Almacen 0,Producto 494,37,4.87,F-2
Almacen 0,Producto 495,44,14.71,H-1
Almacen 0,Producto 496,25,29.59,E-5
Almacen 0,Producto 497,0,9.75,F-8
Almacen 0,Producto 498,72,18.14,H-7
Almacen 0,Producto 499,0,11.7,C-2
Almacen 0,Producto 500,72,19.16,B-5
Almacen 0,Producto 501,85,1.09,F-8
Almacen 0,Producto 502,38,12.12,C-4
Almacen 0,Producto 503,22,24.66,C-4
Almacen 0,Producto 504,46,28.2,A-3
Almacen 0,Producto 505,39,1.08,A-4
Almacen 0,Producto 506,55,25.86,F-8
Almacen 0,Producto 507,2,22.58,F-2
Almacen 0,Producto 508,62,10.78,F-5
Almacen 0,Producto 509,49,11.81,B-8
Almacen 0,Producto 510,84,24.05,G-8
Almacen 0,Producto 511,89,24.96,H-3
Almacen 0,Producto 512,83,10.82,D-6
Almacen 0,Producto 513,42,15.24,E-4
Almacen 0,Producto 514,85,17.8,F-3
Almacen 0,Producto 515,29,18.72,E-2
Almacen 0,Producto 516,83,14.85,A-2
Almacen 0,Producto 517,48,15.99,C-1
Almacen 0,Producto 518,24,16.16,G-2
Almacen 0,Producto 519,55,26.7,A-7
Almacen 0,Producto 520,10,15.93,C-7
Almacen 0,Producto 521,53,21.48,G-5
Almacen 0,Producto 522,10,11.71,F-5
Almacen 0,Producto 523,85,26.38,E-3
Almacen 0,Producto 524,43,22.75,H-1
Almacen 0,Producto 525,69,23.92,D-6
Almacen 0,Producto 526,60,8.81,H-7
Almacen 0,Producto 527,25,26.22,F-2
Almacen 0,Producto 528,42,21.34,F-1
Almacen 0,Producto 529,69,11.39,B-7
Almacen 0,Producto 530,24,13.2,G-2
Almacen 0,Producto 531,52,14.29,B-2
Almacen 0,Producto 532,41,24.23,F-5
Almacen 0,Producto 533,52,9.21,F-5
Almacen 0,Producto 534,58,2.31,D-5
Almacen 0,Producto 535,21,27.01,D-2
Almacen 0,Producto 536,95,10.34,B-7
Almacen 0,Producto 537,94,24.87,C-3
Almacen 0,Producto 538,2,4.49,B-6
Almacen 0,Producto 539,90,28.55,B-2
Almacen 0,Producto 540,74,26.86,A-4
Almacen 0,Producto 541,49,9.46,E-3
Almacen 0,Producto 542,38,13.83,B-2
Almacen 0,Producto 543,44,24.46,A-7
Almacen 0,Producto 544,14,11.93,H-8
Almacen 0,Producto 545,62,20.6,E-4
Almacen 0,Producto 546,75,21.85,B-8
Almacen 0,Producto 547,77,13.93,E-8
Almacen 0,Producto 548,18,25.62,C-7
Almacen 0,Producto 549,53,26.03,A-7
Almacen 0,Producto 550,28,3.05,C-5
Almacen 0,Producto 551,29,6.22,A-6
Almacen 0,Producto 552,51,10.82,B-5
Almacen 0,Producto 553,66,28.53,E-6
Almacen 0,Producto 554,15,28.82,A-1
Almacen 0,Producto 555,3,26.2,E-6
Almacen 0,Producto 556,85,11.18,H-7
Almacen 0,Producto 557,34,29.5,A-1
Almacen 0,Producto 558,99,11.52,A-3
Almacen 0,Producto 559,22,28.77,E-8
Almacen 0,Producto 560,1,26.67,C-5
Almacen 0,Producto 561,53,5.76,G-5
Almacen 0,Producto 562,7,3.06,C-7
Almacen 0,Producto 563,36,28.57,E-3
Almacen 0,Producto 564,18,19.24,B-3
Almacen 0,Producto 565,76,5.31,B-4
Almacen 0,Producto 566,4,17.29,A-5
Almacen 0,Producto 567,93,21.47,C-7
Almacen 0,Producto 568,56,23.07,B-6
Almacen 0,Producto 569,3,10.09,F-1
Almacen 0,Producto 570,63,3.15,H-6
Almacen 0,Producto 571,27,14.27,F-4
Almacen 0,Producto 572,91,17.87,A-1
Almacen 0,Producto 573,96,3.8,A-2
Almacen 0,Producto 574,16,13.96,H-6
Almacen 0,Producto 575,98,26.66,G-5
Almacen 0,Producto 576,65,4.7,D-3
Almacen 0,Producto 577,56,5.04,A-4
Almacen 0,Producto 578,39,13.57,F-6
Almacen 0,Producto 579,26,20.76,F-7
Almacen 0,Producto 580,28,29.39,E-3
Almacen 0,Producto 581,67,4.78,A-2
Almacen 0,Producto 582,98,13.24,H-5
Almacen 0,Producto 583,85,9.88,F-7
Almacen 0,Producto 584,25,12.53,C-1
Almacen 0,Producto 585,84,24.32,E-8
Almacen 0,Producto 586,91,23.59,H-3
Almacen 0,Producto 587,71,9.15,H-3
Almacen 0,Producto 588,82,24.69,E-3
Almacen 0,Producto 589,11,5.98,E-3
Almacen 0,Producto 590,58,12.68,G-1
Almacen 0,Producto 591,40,7.79,H-4
Almacen 0,Producto 592,91,15.64,E-6
Almacen 0,Producto 593,3,11.3,B-8
Almacen 0,Producto 594,11,28.49,G-5
Almacen 0,Producto 595,64,11.1,E-1
Almacen 0,Producto 596,37,24.67,G-2
Almacen 0,Producto 597,3,9.05,G-5
Almacen 0,Producto 598,78,18.66,B-8
Almacen 0,Producto 599,82,24.29,H-3
Almacen 0,Producto 600,39,3.26,E-1
Almacen 0,Producto 601,19,3.08,D-6
Almacen 0,Producto 602,44,24.47,H-1
Almacen 0,Producto 603,33,21.25,D-2
Almacen 0,Producto 604,61,10.57,G-6
Almacen 0,Producto 605,59,15.57,H-3
