documento,camion,comision,ayudante,tiempoDescargaMinutos
1246,456484,173.34,Juan,34
1248,773077,231.7,Fernando,103
1252,847467,162.17,Juan,55
1253,443773,246.12,Ana,74
1257,963423,144.31,Carlos,35
1266,780171,129.05,Carlos,65
1272,951832,235.57,Ricardo,78
1280,475946,171.35,Fernando,67
1281,963423,202.31,Roberto,106
1284,773414,124.72,Pedro,36
1286,635109,151.51,Juan,69
1294,773414,232.66,Maria,70
1301,204669,240.45,Pedro,62
1315,673040,139.66,Ricardo,80
1316,373426,221.04,Pedro,44
1324,780171,142.56,Juan,31
1325,969028,221.14,Juan,63
1326,969028,236.8,Juan,51
1328,206995,158.92,Juan,63
1337,829573,167.14,Juan,51
1342,718432,249.95,Juan,91
1343,576252,161.54,Ana,84
1345,882947,204.47,Ricardo,77
1347,773077,129.97,Juan,110
1349,334017,184.87,Luis,88
1353,316669,171.74,Roberto,100
1361,621455,105.82,Carlos,81
1367,773414,219.82,Pedro,47
1370,456484,106.53,Juan,43
1375,718432,170.37,Fernando,61
1378,439655,115.09,Jose,74
1381,213523,204.19,Roberto,78
1387,635109,142.82,Carlos,81
1389,113038,113.83,Maria,96
1394,847467,160.28,Luis,115
1395,698479,144.13,Fernando,58
1397,860568,118.48,Jose,61
1404,676248,115.82,Ricardo,97
1409,953999,230.27,Fernando,111
1411,223108,211.34,Carlos,105
1415,557740,206.2,Ricardo,53
1419,586338,206.36,Ana,105
1424,583958,215.45,Maria,35
1429,468094,124.48,Fernando,69
1436,780171,111.44,Fernando,43
1437,511296,228.09,Juan,59
1438,334017,126.03,Maria,90
1451,823281,151.94,Juan,36
1453,860568,138.7,Maria,80
1455,673040,154.84,Luis,116
1459,322426,182.62,Roberto,117
1465,619245,172.51,Roberto,70
1466,992659,231.11,Jose,76
1472,210562,136.45,Juan,41
1474,475946,124.66,Ana,95
1477,271557,248.65,Ricardo,71
1480,439655,199.82,Carlos,43
1482,635109,163.48,Pedro,88
1486,410303,226.23,Juan,74
1491,443773,194.01,Ana,75
1492,140680,180.41,Pedro,69
1494,698479,185.2,Ana,116
1502,914261,136.44,Maria,75
1504,373426,238.52,Juan,37
1517,204669,113.96,Fernando,63
1518,538945,195.29,Carlos,54
1524,439655,224.79,Roberto,40
1526,727646,194.03,Fernando,51
1527,908979,176.77,Jose,119
1540,588820,151.09,Maria,110
1542,835118,239.82,Jose,110
1543,632951,128.05,Juan,76
1553,969571,214.12,Juan,62
1554,159836,221.12,Ricardo,112
1589,847467,177.43,Fernando,99
1590,210562,175.4,Pedro,108
1600,439655,184.14,Ricardo,113
1604,568980,132.83,Maria,99
1614,242420,247.23,Carlos,98
1626,443773,197.96,Jose,95
1627,518261,115.35,Ana,54
1631,673040,129.79,Carlos,98
1637,511296,241.57,Carlos,55
1642,727646,180.92,Pedro,54
1645,727646,195.49,Juan,33
1646,582268,193.56,Ana,43
1647,773414,104.69,Carlos,41
1652,951832,185.78,Carlos,112
1653,456484,160.87,Ana,70
1655,676248,197.64,Juan,48
1657,371209,249.71,Fernando,77
1660,140680,199.23,Maria,46
1661,204669,238.04,Ana,118
1662,373426,158.26,Carlos,66
1675,468094,218.71,Ricardo,77
1676,835118,204.44,Maria,67
1682,145491,176.94,Ricardo,74
1684,159836,244.9,Ana,92
1686,334987,215.55,Jose,118
1691,588820,156.35,Maria,85
1702,847467,132.69,Luis,71
1706,621455,163.29,Fernando,72
1722,247357,233.03,Fernando,108
1733,213523,187.98,Roberto,94
1738,210562,216.58,Jose,30
1742,718432,176.72,Ana,119
1756,992659,127.69,Ricardo,71
1785,213523,138.99,Fernando,93
1786,616812,165.89,Jose,72
1793,780171,234.16,Luis,54
1796,907827,220.09,Jose,46
1798,316106,219.07,Carlos,47
1811,908979,197.88,Luis,88
1812,621455,196.88,Maria,57
1815,242420,163.66,Fernando,87
1820,410303,183.18,Maria,80
1824,246676,170.88,Jose,101
1828,223108,207.85,Fernando,119
1833,616812,128.93,Maria,84
1847,582268,120.65,Juan,105
1853,908979,125.34,Roberto,39
1857,276520,234.79,Carlos,104
1864,963423,167.11,Juan,106
1865,616812,239.57,Jose,115
1870,814458,172.59,Maria,49
1899,204669,180.14,Luis,100
1900,619740,147.86,Juan,114
1903,336462,190.63,Jose,49
1907,586338,175.96,Carlos,76
1917,276520,187.28,Ana,116
1921,518261,136.39,Ricardo,112
1927,582268,197.76,Luis,112
1932,773414,175.79,Roberto,106
1939,405139,153.59,Ana,40
1951,583958,119.56,Luis,91
1955,494818,163.4,Fernando,55
1956,456484,216.1,Ana,44
1959,773414,163.21,Ricardo,68
1963,316669,213.5,Fernando,69
1965,410303,206.36,Roberto,39
1969,769176,187.29,Ricardo,86
1973,316106,181.37,Ana,95
1989,529837,224.59,Fernando,71
1999,761305,177.56,Pedro,102
2005,723309,167.11,Ricardo,46
2018,576252,119.77,Roberto,120
2020,698479,174.03,Maria,37
2022,814458,138.48,Juan,72
2026,969571,134.82,Ana,32
2029,410303,248.83,Jose,45
2039,583958,232.67,Roberto,65
2042,835118,115.77,Roberto,95
2047,769176,213.47,Ana,79
2053,835118,110.42,Luis,84
2066,616812,218.33,Luis,45
2083,942304,140.49,Maria,63
2084,632951,203.69,Pedro,30
2086,316669,168.78,Jose,120
2087,625705,122.34,Jose,103
2092,998319,228.87,Luis,104
2102,619245,198.98,Carlos,58
2118,619245,123.67,Fernando,90
2123,969571,226.81,Ricardo,91
2134,443773,168.13,Jose,31
2139,575379,173.49,Fernando,52
2141,698479,185.06,Juan,42
2146,823281,176.11,Pedro,109
2161,538945,244.56,Ricardo,77
2163,625705,243.19,Fernando,51
2174,915465,115.4,Luis,44
2176,718432,189.74,Pedro,73
2178,635109,103.58,Jose,90
2179,247357,232.2,Luis,98
2191,272210,129.63,Juan,90
2195,511296,174.51,Carlos,51
2196,538945,151.69,Ricardo,89
2200,632951,213.48,Ana,44
2201,666143,234.46,Luis,119
2203,494239,238.62,Fernando,111
2205,582268,117.73,Pedro,69
2210,773077,197.66,Jose,50
2211,382958,119.68,Ana,51
2213,439655,197.94,Luis,44
2228,506998,143.97,Pedro,98
2229,506998,111.67,Ricardo,80
2230,316106,198.84,Juan,113
2237,773077,180.0,Ricardo,84
2240,508226,179.66,Ricardo,87
2242,272210,184.17,Roberto,72
2249,394969,234.53,Jose,36
2250,835118,227.05,Ricardo,102
2253,761305,136.67,Carlos,89
2257,588820,153.69,Luis,65
2263,835118,174.02,Juan,96
2264,773077,240.75,Luis,71
2272,666143,169.13,Carlos,45
2280,145491,148.26,Jose,89
2281,963423,176.81,Maria,63
2283,835118,249.49,Maria,61
2285,632951,120.25,Ricardo,64
2299,410303,210.51,Fernando,103
2302,882947,135.46,Roberto,71
2304,116266,178.81,Maria,93
2308,801595,235.07,Fernando,55
2313,371209,159.62,Luis,103
2315,907827,186.49,Juan,70
2316,625705,176.91,Maria,97
2341,882947,174.67,Fernando,59
2347,583958,135.94,Ana,85
2360,957376,100.14,Ricardo,100
2363,635109,152.65,Fernando,102
2369,518261,171.65,Pedro,56
2382,773414,172.45,Roberto,91
2401,439655,207.95,Juan,97
2413,118684,113.83,Roberto,48
2428,619245,100.45,Fernando,120
2437,801595,184.71,Maria,111
2445,712737,109.45,Fernando,62
2470,625705,138.23,Ricardo,53
2473,586338,206.62,Maria,48
2474,579939,140.97,Fernando,79
2475,316669,182.28,Jose,79
2481,506998,214.41,Ricardo,82
2489,780171,136.83,Ana,74
2498,579939,143.22,Ricardo,115
2503,159836,114.86,Jose,78
2509,727646,126.09,Ricardo,36
2510,242420,140.02,Ana,93
2512,601025,234.01,Ricardo,66
2545,847467,145.38,Roberto,120
2550,723309,139.72,Pedro,75
2551,405209,227.52,Ricardo,38
2561,625705,138.69,Luis,103
2564,676248,188.9,Juan,113
2569,769176,129.12,Maria,52
2570,468094,165.68,Ricardo,69
2571,780171,167.2,Maria,88
2572,915465,194.62,Ricardo,105
2574,394969,157.23,Carlos,57
2584,210562,247.44,Luis,113
2601,621455,232.91,Luis,91
2608,159836,181.45,Maria,69
2619,942304,119.4,Juan,38
2622,773077,109.46,Carlos,40
2631,116266,247.73,Juan,84
2632,773414,238.93,Pedro,54
2633,835118,110.67,Luis,112
2638,521054,225.51,Maria,64
2645,118684,186.75,Maria,110
2648,518261,126.4,Fernando,68
2656,521054,191.75,Jose,46
2659,456484,166.63,Jose,54
2660,915465,129.87,Roberto,65
2663,521054,101.44,Maria,110
2670,823281,188.79,Roberto,100
2682,316669,174.57,Ricardo,67
2691,575379,169.05,Fernando,69
2703,410303,166.78,Maria,34
2706,506998,227.25,Carlos,108
2713,673040,213.87,Pedro,56
2714,272210,231.52,Carlos,33
2717,723309,214.06,Ricardo,50
2719,835118,212.51,Ana,107
2720,727646,226.31,Ricardo,115
2721,206995,130.91,Carlos,38
2731,588820,169.72,Jose,89
2735,673040,129.42,Ana,75
2743,557740,203.23,Luis,86
2745,415183,244.92,Juan,71
2749,213523,173.65,Ricardo,81
2750,575379,165.9,Maria,108
2757,568980,130.99,Ana,50
2759,814458,214.44,Roberto,110
2771,171243,248.57,Pedro,118
2781,588820,236.01,Roberto,67
2792,621455,110.67,Ricardo,71
2804,908979,247.07,Jose,33
2811,882947,124.53,Pedro,47
2812,171243,139.74,Maria,49
2814,616812,226.53,Juan,74
2817,727646,155.87,Maria,105
2824,907827,185.17,Ricardo,70
2831,773414,232.4,Maria,105
2841,712737,178.71,Carlos,72
2842,723309,212.16,Ricardo,64
2847,963423,178.82,Roberto,62
2848,456484,183.6,Pedro,47
2852,616812,130.68,Juan,83
2854,769176,158.23,Juan,55
2857,373426,225.18,Maria,82
2860,529837,102.14,Maria,31
2862,773414,132.23,Roberto,36
2871,371209,123.69,Fernando,106
2877,204669,131.06,Jose,86
2879,468094,211.84,Luis,43
2891,272210,238.83,Ana,41
2894,373426,241.05,Pedro,93
2913,494818,158.05,Jose,104
2918,761305,226.54,Fernando,41
2924,247357,185.77,Carlos,94
2932,410303,196.37,Pedro,90
2941,951832,208.11,Fernando,74
2953,860568,107.34,Roberto,33
2962,718432,209.65,Pedro,94
2967,322426,187.44,Carlos,114
2970,538945,145.36,Maria,87
2975,619245,126.89,Juan,46
2979,780171,132.94,Roberto,48
2980,829573,143.51,Ricardo,97
2983,271557,211.65,Fernando,90
2984,171243,176.31,Roberto,117
2992,953999,123.87,Ana,34
2996,666143,190.32,Ricardo,42
2997,998319,249.99,Ricardo,96
3004,439655,214.03,Jose,66
3011,118684,229.09,Ana,44
3014,247357,159.51,Maria,54
3015,761305,237.26,Roberto,118
3028,773414,183.32,Ana,75
3031,159836,138.7,Carlos,111
3032,619245,230.2,Luis,68
3033,113038,171.41,Pedro,37
3036,718432,151.79,Carlos,65
3044,619245,249.63,Maria,32
3055,666143,191.36,Carlos,92
3060,322426,162.05,Ricardo,84
3061,823281,206.22,Juan,35
3066,334987,109.98,Fernando,45
3068,521054,206.67,Carlos,112
3073,113038,117.09,Fernando,119
3075,588820,209.96,Jose,82
3082,727646,227.57,Luis,119
3085,322426,215.66,Ricardo,101
3090,621455,217.1,Ana,46
3091,673040,200.55,Pedro,110
3107,506998,169.77,Juan,66
3128,829573,238.76,Ricardo,54
3136,113038,168.51,Ricardo,31
3164,718432,117.07,Fernando,105
3167,915465,133.24,Juan,81
3174,773077,176.89,Pedro,111
3183,576252,171.46,Juan,80
3192,410303,240.45,Fernando,32
3197,456484,242.47,Ricardo,90
3200,410303,145.95,Juan,48
3211,118684,226.34,Maria,47
3220,712737,178.98,Jose,85
3222,371209,108.41,Luis,46
3232,780171,234.05,Fernando,61
3241,568980,232.47,Luis,33
3244,801595,154.97,Roberto,94
3250,568980,127.28,Roberto,47
3252,276520,108.64,Juan,69
3254,635109,173.01,Luis,120
3258,538945,131.87,Carlos,110
3266,969571,236.97,Pedro,79
3267,247357,115.17,Roberto,118
3276,538945,195.74,Roberto,80
3279,247357,166.36,Jose,82
3280,621455,199.43,Roberto,68
3285,619740,210.31,Carlos,72
3303,621455,110.72,Jose,74
3308,769176,225.5,Pedro,57
3316,860568,114.76,Fernando,35
3323,829573,122.32,Jose,60
3326,711185,104.82,Luis,101
3327,247357,207.65,Jose,104
3331,616812,180.25,Pedro,64
3332,882947,179.98,Luis,76
3333,511296,187.98,Luis,41
3339,588820,189.54,Juan,41
3341,915465,152.89,Carlos,98
3343,481424,116.3,Maria,51
3344,394969,239.04,Carlos,52
3357,456484,175.51,Luis,86
3361,588820,115.36,Luis,92
3364,276520,102.05,Ricardo,111
3369,276520,173.28,Fernando,111
3371,712737,140.11,Maria,68
3372,538945,200.47,Pedro,104
3381,801595,146.11,Maria,88
3403,521054,138.41,Pedro,100
3414,118684,122.65,Juan,105
3415,588820,186.16,Carlos,39
3420,801595,130.46,Carlos,119
3422,673040,147.45,Luis,111
3426,494239,217.42,Fernando,40
3431,336462,159.11,Ricardo,61
3434,113038,180.9,Juan,88
3443,494239,115.18,Ana,116
3449,882947,198.32,Carlos,111
3467,557740,214.25,Jose,116
3471,481424,141.03,Pedro,91
3472,468094,141.15,Juan,45
3474,382958,231.31,Fernando,101
3479,247357,108.76,Carlos,79
3495,481424,242.53,Ana,62
3500,616812,210.83,Maria,119
3505,271557,180.39,Juan,94
3527,619740,178.02,Jose,94
3529,969571,194.83,Luis,68
3532,969028,148.83,Juan,114
3534,159836,188.83,Juan,61
3552,271557,203.37,Fernando,58
3555,914261,132.51,Carlos,88
3558,373426,119.93,Juan,67
3562,568980,232.05,Luis,55
3564,206995,163.12,Luis,86
3571,210562,235.77,Luis,51
3575,953999,153.01,Pedro,79
3580,761305,157.92,Maria,34
3590,511296,130.74,Pedro,37
3594,316669,136.37,Juan,46
3597,847467,182.72,Maria,93
3599,969028,107.76,Juan,71
3607,334017,221.83,Luis,46
3611,521054,176.8,Carlos,66
3612,382958,110.99,Jose,109
3625,761305,207.11,Juan,104
3628,511296,173.86,Maria,80
3629,769176,214.46,Fernando,54
3634,860568,204.22,Juan,57
3638,635109,205.2,Maria,35
3645,468094,107.08,Maria,40
3646,723309,139.64,Ana,70
3647,829573,227.28,Luis,53
3652,494818,142.55,Maria,76
3712,963423,161.74,Maria,83
3728,718432,188.35,Maria,77
3739,998319,188.55,Luis,37
3740,371209,181.78,Fernando,36
3744,625705,170.48,Luis,35
3745,394969,210.36,Maria,103
3747,521054,192.47,Fernando,91
3749,213523,211.66,Fernando,117
3755,568980,105.57,Ricardo,33
3757,969571,191.83,Maria,96
3762,145491,192.12,Pedro,35
3772,481424,227.27,Roberto,96
3774,276520,177.37,Ricardo,90
3785,118684,151.37,Ana,116
3792,712737,187.73,Ana,58
3795,969028,111.91,Pedro,98
3796,271557,221.99,Ana,74
3799,382958,136.26,Maria,77
3800,575379,216.94,Ana,42
3811,711185,231.76,Ana,78
3813,145491,227.58,Juan,68
3818,382958,127.03,Roberto,90
3827,394969,168.32,Juan,40
3840,468094,135.7,Maria,33
3841,963423,242.35,Maria,62
3843,632951,244.09,Fernando,43
3850,616812,146.44,Ricardo,37
3852,723309,207.9,Ana,88
3855,823281,247.12,Carlos,46
3892,159836,111.54,Luis,47
3896,272210,104.74,Carlos,82
3897,443773,114.01,Roberto,106
3903,140680,144.38,Maria,112
3905,538945,205.39,Carlos,85
3906,415183,148.85,Carlos,48
3908,334017,141.37,Fernando,35
3909,538945,179.96,Fernando,57
3912,456484,130.37,Roberto,97
3913,601025,229.82,Jose,106
3914,583958,156.97,Juan,94
3915,494239,182.72,Luis,82
3916,957376,152.89,Jose,49
3918,140680,207.25,Ana,58
3919,247357,173.73,Ricardo,105
3920,334987,147.99,Luis,107
3925,882947,228.2,Ana,67
3930,711185,146.98,Maria,48
3938,801595,118.49,Pedro,67
3940,373426,177.61,Ricardo,42
3943,712737,116.45,Ana,38
3960,823281,197.39,Ricardo,98
3964,698479,142.1,Juan,77
3966,914261,146.29,Jose,81
3974,712737,100.72,Luis,91
3975,113038,207.85,Juan,36
3985,334987,143.01,Ana,57
3987,443773,176.89,Roberto,51
3991,951832,101.4,Maria,93
3999,506998,127.91,Juan,78
