empresa,producto,materiales,costo,fechaInicio
Empresa 185,Producto 78,"['Fibra de Carbono 1', 'Aluminio 2']",68.56,2015-11-08
Empresa 45,Producto 79,"['Acero 1', 'Níquel 2', 'Acero 3']",120.07,2015-12-16
Empresa 114,Producto 80,"['Cerámica 1', 'Níquel 2', 'Níquel 3', 'Cobre 4']",127.6,2015-09-11
Empresa 120,Producto 81,"['Níquel 1', 'Plastico 2', 'Fibra de Carbono 3', 'Cerámica 4']",92.37,2017-11-06
Empresa 65,Producto 82,"['Cobre 1', 'Acero 2']",64.86,2017-11-06
Empresa 10,Producto 83,"['Plastico 1', 'Níquel 2']",135.05,2016-06-29
Empresa 111,Producto 84,"['Acero 1', 'Cobalto 2']",117.75,2017-05-27
Empresa 141,Producto 85,"['Níquel 1', 'Plastico 2', 'Níquel 3', 'Plastico 4']",76.1,2018-10-07
Empresa 182,Producto 86,"['Cobre 1', 'Fibra de Carbono 2', 'Silicón 3', 'Grafeno 4', 'Níquel 5']",98.98,2018-09-10
Empresa 31,Producto 87,"['Acero 1', 'Aluminio 2', 'Plastico 3', 'Fibra de Carbono 4']",77.97,2017-01-14
Empresa 153,Producto 88,"['Níquel 1', 'Cobre 2', 'Plastico 3', 'Cobre 4']",63.12,2019-08-25
Empresa 35,Producto 89,"['Grafeno 1', 'Acero 2']",105.36,2017-08-09
Empresa 141,Producto 90,"['Plastico 1', 'Silicón 2', 'Silicón 3', 'Cobalto 4', 'Níquel 5']",125.91,2017-05-23
Empresa 27,Producto 91,"['Cobre 1', 'Plastico 2', 'Cobre 3']",75.99,2016-12-31
Empresa 181,Producto 92,"['Aluminio 1', 'Grafeno 2', 'Fibra de Carbono 3', 'Cobre 4', 'Silicón 5']",113.96,2018-06-20
Empresa 172,Producto 93,"['Grafeno 1', 'Cobalto 2', 'Cobre 3']",58.53,2018-07-24
Empresa 72,Producto 94,"['Cobre 1', 'Cobalto 2', 'Plastico 3']",139.68,2017-11-01
Empresa 145,Producto 95,"['Acero 1', 'Cerámica 2']",105.86,2018-07-11
Empresa 128,Producto 96,"['Fibra de Carbono 1', 'Fibra de Carbono 2', 'Níquel 3']",148.05,2015-05-26
Empresa 141,Producto 97,"['Cobalto 1', 'Cerámica 2', 'Cobre 3', 'Cerámica 4']",115.69,2017-04-10
Empresa 63,Producto 98,"['Cobalto 1', 'Acero 2', 'Fibra de Carbono 3', 'Acero 4']",72.73,2015-01-18
Empresa 104,Producto 99,"['Aluminio 1', 'Cobalto 2', 'Aluminio 3']",112.76,2017-08-21
Empresa 184,Producto 100,"['Cobre 1', 'Acero 2', 'Aluminio 3', 'Acero 4']",60.87,2016-11-19
Empresa 136,Producto 101,"['Cobre 1', 'Níquel 2']",68.31,2019-02-08
Empresa 170,Producto 102,"['Cobre 1', 'Cobre 2']",86.76,2017-07-15
Empresa 168,Producto 103,"['Cobre 1', 'Plastico 2', 'Níquel 3', 'Silicón 4']",64.55,2017-05-26
Empresa 56,Producto 104,"['Cobre 1', 'Plastico 2', 'Acero 3']",64.11,2019-09-08
Empresa 158,Producto 105,"['Cobalto 1', 'Cobre 2', 'Cobalto 3']",73.33,2018-09-18
Empresa 52,Producto 106,"['Silicón 1', 'Cobalto 2', 'Cobalto 3', 'Plastico 4', 'Cerámica 5']",73.87,2015-10-02
Empresa 82,Producto 107,"['Fibra de Carbono 1', 'Plastico 2', 'Fibra de Carbono 3']",98.76,2015-12-17
Empresa 24,Producto 108,"['Cobalto 1', 'Cobre 2', 'Cerámica 3', 'Fibra de Carbono 4']",115.28,2017-06-23
Empresa 63,Producto 109,"['Cobre 1', 'Plastico 2', 'Cobre 3']",76.35,2016-01-16
Empresa 161,Producto 110,"['Plastico 1', 'Cobre 2', 'Fibra de Carbono 3', 'Cobalto 4', 'Níquel 5']",145.21,2016-06-29
Empresa 77,Producto 111,"['Acero 1', 'Cobre 2']",104.13,2019-05-21
Empresa 175,Producto 112,"['Silicón 1', 'Níquel 2']",84.74,2018-10-19
Empresa 36,Producto 113,"['Níquel 1', 'Níquel 2', 'Fibra de Carbono 3', 'Silicón 4', 'Cerámica 5']",67.65,2016-03-22
Empresa 66,Producto 114,"['Cobre 1', 'Plastico 2', 'Grafeno 3', 'Silicón 4']",126.8,2016-04-19
Empresa 122,Producto 115,"['Cobre 1', 'Grafeno 2']",113.87,2019-01-11
Empresa 126,Producto 116,"['Cerámica 1', 'Cobre 2', 'Aluminio 3', 'Cerámica 4', 'Plastico 5']",149.56,2016-02-05
Empresa 193,Producto 117,"['Acero 1', 'Silicón 2', 'Acero 3', 'Níquel 4', 'Acero 5']",106.77,2018-03-01
Empresa 63,Producto 118,"['Silicón 1', 'Cobre 2', 'Cerámica 3', 'Silicón 4']",77.71,2015-05-22
Empresa 162,Producto 119,"['Cobalto 1', 'Cobalto 2', 'Acero 3']",103.12,2015-04-24
Empresa 181,Producto 120,"['Plastico 1', 'Fibra de Carbono 2', 'Níquel 3', 'Plastico 4']",98.09,2017-11-26
Empresa 93,Producto 121,"['Cobre 1', 'Cobre 2']",92.02,2019-07-10
Empresa 10,Producto 122,"['Cobalto 1', 'Níquel 2']",143.44,2015-09-18
Empresa 93,Producto 123,"['Cobalto 1', 'Fibra de Carbono 2']",78.72,2017-01-10
Empresa 161,Producto 124,"['Cobalto 1', 'Plastico 2', 'Níquel 3', 'Cobre 4']",106.81,2015-08-25
Empresa 24,Producto 125,"['Plastico 1', 'Cobre 2', 'Fibra de Carbono 3', 'Silicón 4']",137.79,2019-03-15
Empresa 7,Producto 126,"['Grafeno 1', 'Silicón 2']",63.1,2016-02-07
Empresa 110,Producto 127,"['Cerámica 1', 'Cobalto 2', 'Cobre 3', 'Cobre 4', 'Cobre 5']",104.54,2017-10-11
Empresa 35,Producto 128,"['Grafeno 1', 'Acero 2']",90.1,2015-11-02
Empresa 171,Producto 129,"['Fibra de Carbono 1', 'Cobre 2']",78.97,2015-03-12
Empresa 169,Producto 130,"['Acero 1', 'Cobalto 2']",130.22,2018-08-20
Empresa 21,Producto 131,"['Fibra de Carbono 1', 'Fibra de Carbono 2', 'Fibra de Carbono 3', 'Acero 4']",133.97,2015-04-07
Empresa 158,Producto 132,"['Acero 1', 'Cobre 2', 'Plastico 3', 'Fibra de Carbono 4']",66.48,2018-06-11
Empresa 111,Producto 133,"['Cerámica 1', 'Cerámica 2', 'Silicón 3']",89.12,2016-03-15
Empresa 37,Producto 134,"['Plastico 1', 'Silicón 2']",128.82,2017-08-12
Empresa 104,Producto 135,"['Cobre 1', 'Acero 2']",132.57,2016-07-31
Empresa 58,Producto 136,"['Cobalto 1', 'Cobalto 2', 'Cobre 3', 'Grafeno 4', 'Acero 5']",127.7,2017-09-06
Empresa 36,Producto 137,"['Fibra de Carbono 1', 'Plastico 2', 'Cobre 3', 'Silicón 4', 'Grafeno 5']",97.07,2019-08-16
Empresa 20,Producto 138,"['Cobalto 1', 'Fibra de Carbono 2']",94.99,2016-01-11
Empresa 152,Producto 139,"['Cobalto 1', 'Cobalto 2', 'Cobalto 3']",92.11,2017-04-15
Empresa 63,Producto 140,"['Cobre 1', 'Níquel 2', 'Silicón 3']",65.63,2017-11-23
Empresa 67,Producto 141,"['Cobre 1', 'Aluminio 2', 'Níquel 3']",80.3,2019-01-20
Empresa 94,Producto 142,"['Níquel 1', 'Aluminio 2', 'Cobalto 3', 'Cobre 4']",89.26,2019-01-13
Empresa 168,Producto 143,"['Grafeno 1', 'Fibra de Carbono 2', 'Plastico 3']",69.7,2016-08-21
Empresa 91,Producto 144,"['Acero 1', 'Cobre 2']",114.58,2017-12-10
Empresa 134,Producto 145,"['Fibra de Carbono 1', 'Plastico 2', 'Acero 3', 'Cerámica 4', 'Cobalto 5']",58.48,2016-05-12
Empresa 27,Producto 146,"['Aluminio 1', 'Cobalto 2', 'Cobalto 3', 'Cobre 4', 'Silicón 5']",71.33,2018-07-17
Empresa 127,Producto 147,"['Aluminio 1', 'Cobalto 2', 'Fibra de Carbono 3']",76.42,2019-09-30
Empresa 92,Producto 148,"['Cobalto 1', 'Cobalto 2', 'Cerámica 3', 'Acero 4']",123.77,2018-09-25
Empresa 20,Producto 149,"['Acero 1', 'Cobre 2', 'Fibra de Carbono 3']",82.67,2019-05-11
Empresa 29,Producto 150,"['Silicón 1', 'Aluminio 2', 'Cerámica 3', 'Acero 4']",116.35,2016-03-29
Empresa 58,Producto 151,"['Plastico 1', 'Cobalto 2', 'Acero 3', 'Fibra de Carbono 4']",69.09,2015-10-12
Empresa 58,Producto 152,"['Cobalto 1', 'Níquel 2', 'Cobre 3', 'Cobalto 4']",62.36,2019-06-17
Empresa 95,Producto 153,"['Fibra de Carbono 1', 'Cobre 2']",119.25,2017-04-08
Empresa 72,Producto 154,"['Acero 1', 'Plastico 2', 'Níquel 3', 'Grafeno 4']",134.2,2017-07-19
Empresa 126,Producto 155,"['Cobre 1', 'Cobre 2']",114.86,2017-03-02
Empresa 74,Producto 156,"['Grafeno 1', 'Cerámica 2', 'Aluminio 3']",120.88,2016-08-16
Empresa 31,Producto 157,"['Aluminio 1', 'Cerámica 2', 'Cerámica 3', 'Acero 4', 'Fibra de Carbono 5']",57.09,2017-06-11
Empresa 115,Producto 158,"['Fibra de Carbono 1', 'Cobre 2']",146.67,2015-04-24
Empresa 77,Producto 159,"['Cobre 1', 'Fibra de Carbono 2', 'Cobre 3']",63.06,2016-07-07
Empresa 92,Producto 160,"['Fibra de Carbono 1', 'Níquel 2', 'Cobre 3', 'Cobalto 4']",146.14,2019-05-10
Empresa 120,Producto 161,"['Grafeno 1', 'Cobre 2', 'Plastico 3', 'Silicón 4', 'Fibra de Carbono 5']",120.12,2019-03-19
Empresa 189,Producto 162,"['Plastico 1', 'Cobalto 2', 'Níquel 3', 'Cobalto 4', 'Aluminio 5']",85.9,2015-09-28
Empresa 158,Producto 163,"['Silicón 1', 'Cobre 2', 'Plastico 3']",105.83,2017-01-31
Empresa 67,Producto 164,"['Grafeno 1', 'Cobre 2', 'Fibra de Carbono 3']",128.38,2015-12-13
Empresa 134,Producto 165,"['Níquel 1', 'Aluminio 2']",107.34,2016-05-17
Empresa 126,Producto 166,"['Níquel 1', 'Silicón 2']",136.87,2016-10-22
Empresa 29,Producto 167,"['Plastico 1', 'Aluminio 2']",132.64,2016-11-15
Empresa 14,Producto 168,"['Silicón 1', 'Cobalto 2']",106.47,2019-11-23
Empresa 114,Producto 169,"['Cobre 1', 'Níquel 2', 'Cobalto 3', 'Cobalto 4']",99.7,2016-02-27
Empresa 88,Producto 170,"['Cobre 1', 'Fibra de Carbono 2', 'Grafeno 3', 'Cerámica 4', 'Plastico 5']",93.7,2019-12-12
Empresa 70,Producto 171,"['Grafeno 1', 'Acero 2']",96.01,2017-12-14
Empresa 115,Producto 172,"['Grafeno 1', 'Fibra de Carbono 2', 'Grafeno 3', 'Plastico 4']",92.31,2019-05-25
Empresa 18,Producto 173,"['Aluminio 1', 'Acero 2']",89.08,2019-08-07
Empresa 58,Producto 174,"['Cobalto 1', 'Cobalto 2']",125.33,2018-10-08
Empresa 189,Producto 175,"['Grafeno 1', 'Acero 2', 'Cobalto 3', 'Fibra de Carbono 4']",101.46,2017-08-29
Empresa 184,Producto 176,"['Cobre 1', 'Níquel 2', 'Cobre 3', 'Cobalto 4', 'Cerámica 5']",140.94,2018-08-14
Empresa 127,Producto 177,"['Grafeno 1', 'Plastico 2']",118.92,2015-01-29
Empresa 15,Producto 178,"['Cobre 1', 'Cobalto 2', 'Cobre 3']",52.54,2017-08-17
Empresa 141,Producto 179,"['Acero 1', 'Cerámica 2']",81.85,2018-12-11
Empresa 154,Producto 180,"['Plastico 1', 'Silicón 2', 'Grafeno 3', 'Acero 4', 'Plastico 5']",86.61,2019-05-01
Empresa 61,Producto 181,"['Cerámica 1', 'Silicón 2', 'Grafeno 3', 'Cobre 4']",103.83,2018-08-06
Empresa 58,Producto 182,"['Níquel 1', 'Grafeno 2', 'Silicón 3']",86.33,2017-08-31
Empresa 38,Producto 183,"['Acero 1', 'Cobre 2', 'Níquel 3', 'Níquel 4', 'Aluminio 5']",98.96,2018-05-22
Empresa 65,Producto 184,"['Plastico 1', 'Fibra de Carbono 2', 'Cerámica 3', 'Cerámica 4']",54.11,2016-05-17
Empresa 122,Producto 185,"['Cerámica 1', 'Cobre 2', 'Silicón 3', 'Fibra de Carbono 4']",147.28,2015-06-16
Empresa 110,Producto 186,"['Cobre 1', 'Aluminio 2']",135.27,2015-09-25
Empresa 153,Producto 187,"['Cobre 1', 'Aluminio 2', 'Grafeno 3']",96.31,2017-09-10
Empresa 153,Producto 188,"['Fibra de Carbono 1', 'Cobalto 2', 'Acero 3', 'Cobalto 4', 'Cerámica 5']",111.75,2017-08-13
Empresa 45,Producto 189,"['Níquel 1', 'Acero 2', 'Fibra de Carbono 3', 'Cerámica 4']",129.51,2019-03-10
Empresa 27,Producto 190,"['Cerámica 1', 'Aluminio 2', 'Cobre 3', 'Cobre 4', 'Grafeno 5']",108.57,2015-03-29
Empresa 145,Producto 191,"['Aluminio 1', 'Cobre 2', 'Silicón 3', 'Cerámica 4']",61.2,2017-12-29
Empresa 37,Producto 192,"['Cobre 1', 'Plastico 2']",111.04,2016-08-22
Empresa 172,Producto 193,"['Grafeno 1', 'Plastico 2', 'Fibra de Carbono 3']",137.41,2019-11-10
Empresa 123,Producto 194,"['Níquel 1', 'Cobre 2']",89.44,2017-08-06
Empresa 57,Producto 195,"['Fibra de Carbono 1', 'Acero 2']",76.12,2016-01-08
Empresa 42,Producto 196,"['Silicón 1', 'Fibra de Carbono 2', 'Aluminio 3', 'Aluminio 4', 'Cerámica 5']",144.36,2019-06-17
Empresa 24,Producto 197,"['Acero 1', 'Plastico 2']",78.51,2016-11-04
Empresa 9,Producto 198,"['Silicón 1', 'Silicón 2', 'Aluminio 3']",130.46,2018-08-14
Empresa 189,Producto 199,"['Plastico 1', 'Cobre 2', 'Plastico 3', 'Plastico 4', 'Plastico 5']",132.7,2016-11-12
Empresa 20,Producto 200,"['Silicón 1', 'Grafeno 2', 'Plastico 3', 'Cobre 4', 'Níquel 5']",144.39,2017-01-05
Empresa 63,Producto 201,"['Aluminio 1', 'Acero 2']",107.17,2018-02-03
Empresa 120,Producto 202,"['Aluminio 1', 'Cobre 2']",141.74,2016-04-05
Empresa 63,Producto 203,"['Grafeno 1', 'Cobre 2', 'Silicón 3']",75.46,2015-12-10
Empresa 29,Producto 204,"['Cerámica 1', 'Silicón 2', 'Cerámica 3', 'Cerámica 4', 'Cobre 5']",126.37,2016-03-08
Empresa 139,Producto 205,"['Fibra de Carbono 1', 'Fibra de Carbono 2', 'Acero 3']",107.09,2016-01-29
Empresa 169,Producto 206,"['Grafeno 1', 'Plastico 2', 'Silicón 3', 'Cobre 4']",68.74,2018-02-20
Empresa 123,Producto 207,"['Cobalto 1', 'Acero 2', 'Fibra de Carbono 3', 'Cobre 4']",117.87,2016-04-22
Empresa 181,Producto 208,"['Plastico 1', 'Cobalto 2', 'Plastico 3']",132.59,2019-02-11
Empresa 18,Producto 209,"['Cobre 1', 'Cobre 2']",126.1,2017-08-08
Empresa 148,Producto 210,"['Silicón 1', 'Aluminio 2']",81.77,2015-07-10
Empresa 153,Producto 211,"['Plastico 1', 'Cerámica 2', 'Plastico 3', 'Níquel 4']",66.5,2016-09-26
Empresa 61,Producto 212,"['Cobre 1', 'Plastico 2', 'Acero 3', 'Cerámica 4']",121.31,2019-12-13
Empresa 172,Producto 213,"['Acero 1', 'Silicón 2']",52.34,2016-04-23
Empresa 172,Producto 214,"['Fibra de Carbono 1', 'Cobalto 2', 'Fibra de Carbono 3', 'Cerámica 4']",135.36,2018-09-01
Empresa 46,Producto 215,"['Cobre 1', 'Níquel 2', 'Acero 3', 'Aluminio 4', 'Plastico 5']",57.47,2017-10-09
Empresa 136,Producto 216,"['Níquel 1', 'Níquel 2', 'Cobre 3']",77.99,2018-06-04
Empresa 51,Producto 217,"['Plastico 1', 'Plastico 2', 'Fibra de Carbono 3', 'Plastico 4']",134.52,2017-12-11
Empresa 34,Producto 218,"['Grafeno 1', 'Plastico 2', 'Níquel 3']",67.19,2016-07-11
Empresa 29,Producto 219,"['Silicón 1', 'Cobre 2', 'Cobre 3', 'Acero 4']",95.31,2017-02-15
Empresa 169,Producto 220,"['Silicón 1', 'Grafeno 2', 'Cobre 3']",81.55,2019-08-30
Empresa 91,Producto 221,"['Níquel 1', 'Fibra de Carbono 2', 'Cobalto 3']",80.65,2015-09-14
Empresa 199,Producto 222,"['Plastico 1', 'Cobalto 2']",108.09,2018-07-20
Empresa 36,Producto 223,"['Grafeno 1', 'Níquel 2', 'Plastico 3', 'Grafeno 4']",71.93,2018-09-27
Empresa 88,Producto 224,"['Acero 1', 'Grafeno 2', 'Grafeno 3', 'Fibra de Carbono 4']",134.4,2016-08-04
Empresa 154,Producto 225,"['Níquel 1', 'Fibra de Carbono 2']",87.32,2019-09-19
Empresa 77,Producto 226,"['Níquel 1', 'Aluminio 2', 'Fibra de Carbono 3']",145.17,2019-11-10
Empresa 46,Producto 227,"['Aluminio 1', 'Níquel 2', 'Cobre 3', 'Níquel 4', 'Cobre 5']",61.88,2017-07-27
Empresa 24,Producto 228,"['Aluminio 1', 'Cobre 2', 'Grafeno 3', 'Cerámica 4', 'Plastico 5']",147.05,2016-03-07
Empresa 79,Producto 229,"['Acero 1', 'Cobre 2', 'Grafeno 3']",73.26,2015-11-27
Empresa 41,Producto 230,"['Acero 1', 'Fibra de Carbono 2', 'Grafeno 3', 'Níquel 4']",96.49,2015-09-25
Empresa 171,Producto 231,"['Cobre 1', 'Cobre 2', 'Cobre 3', 'Cerámica 4', 'Cobre 5']",56.51,2017-03-11
Empresa 194,Producto 232,"['Acero 1', 'Cerámica 2', 'Silicón 3']",114.7,2018-11-03
Empresa 120,Producto 233,"['Níquel 1', 'Silicón 2', 'Fibra de Carbono 3']",105.56,2016-05-10
Empresa 182,Producto 234,"['Fibra de Carbono 1', 'Silicón 2', 'Fibra de Carbono 3']",59.19,2017-10-05
Empresa 127,Producto 235,"['Cobre 1', 'Silicón 2', 'Cobre 3']",124.01,2019-06-06
Empresa 86,Producto 236,"['Grafeno 1', 'Aluminio 2']",112.08,2019-10-24
Empresa 77,Producto 237,"['Grafeno 1', 'Silicón 2', 'Fibra de Carbono 3']",103.03,2018-09-26
Empresa 27,Producto 238,"['Acero 1', 'Plastico 2', 'Silicón 3', 'Cerámica 4']",63.53,2017-12-22
Empresa 186,Producto 239,"['Fibra de Carbono 1', 'Níquel 2']",89.04,2015-05-01
Empresa 132,Producto 240,"['Grafeno 1', 'Fibra de Carbono 2', 'Cobalto 3', 'Cobre 4']",85.37,2016-01-12
Empresa 9,Producto 241,"['Plastico 1', 'Acero 2', 'Cobre 3']",85.03,2019-07-09
