documento,empresa,corresponsal,numeroConfirmacion,prioridad
319,Empresa 199,Corresponsal 82,232589,Media
320,Empresa 30,Corresponsal 89,674416,Media
321,Empresa 112,Corresponsal 42,447976,Media
322,Empresa 130,Corresponsal 69,817992,Alta
324,Empresa 11,Corresponsal 12,669791,Alta
325,Empresa 80,Corresponsal 61,203735,Media
326,Empresa 189,Corresponsal 8,857878,Media
333,Empresa 138,Corresponsal 9,330816,Alta
336,Empresa 171,Corresponsal 53,718475,Baja
338,Empresa 136,Corresponsal 46,713210,Media
339,Empresa 23,Corresponsal 86,891635,Baja
340,Empresa 160,Corresponsal 57,554726,Baja
342,Empresa 69,Corresponsal 36,254987,Baja
346,Empresa 148,Corresponsal 100,959073,Baja
347,Empresa 102,Corresponsal 100,975921,Alta
350,Empresa 130,Corresponsal 85,368316,Baja
351,Empresa 40,Corresponsal 94,819940,Alta
352,Empresa 81,Corresponsal 100,602281,Baja
353,Empresa 21,Corresponsal 64,498122,Baja
354,Empresa 111,Corresponsal 9,847171,Baja
355,Empresa 151,Corresponsal 96,306892,Alta
356,Empresa 0,Corresponsal 82,448047,Baja
362,Empresa 135,Corresponsal 76,522733,Media
364,Empresa 128,Corresponsal 49,548280,Alta
373,Empresa 127,Corresponsal 15,152311,Baja
378,Empresa 55,Corresponsal 3,506760,Alta
381,Empresa 101,Corresponsal 39,977504,Media
383,Empresa 189,Corresponsal 36,773858,Media
384,Empresa 14,Corresponsal 21,901848,Baja
385,Empresa 120,Corresponsal 95,351234,Alta
387,Empresa 90,Corresponsal 25,600738,Baja
389,Empresa 4,Corresponsal 26,488129,Baja
391,Empresa 20,Corresponsal 48,194323,Baja
392,Empresa 0,Corresponsal 78,871725,Alta
394,Empresa 171,Corresponsal 43,354958,Alta
395,Empresa 4,Corresponsal 5,504826,Baja
405,Empresa 162,Corresponsal 73,670733,Alta
409,Empresa 130,Corresponsal 25,356400,Alta
414,Empresa 177,Corresponsal 73,755169,Media
419,Empresa 57,Corresponsal 48,957368,Media
421,Empresa 149,Corresponsal 48,411682,Baja
423,Empresa 52,Corresponsal 13,512421,Media
425,Empresa 199,Corresponsal 87,617106,Alta
426,Empresa 77,Corresponsal 99,796365,Baja
427,Empresa 52,Corresponsal 43,809974,Baja
428,Empresa 69,Corresponsal 88,691419,Alta
432,Empresa 185,Corresponsal 67,686534,Baja
441,Empresa 112,Corresponsal 94,996010,Alta
442,Empresa 56,Corresponsal 83,731861,Alta
443,Empresa 69,Corresponsal 37,648033,Media
445,Empresa 130,Corresponsal 90,767290,Media
449,Empresa 60,Corresponsal 58,598361,Media
453,Empresa 138,Corresponsal 43,176615,Media
455,Empresa 144,Corresponsal 12,921422,Media
461,Empresa 43,Corresponsal 9,204545,Alta
464,Empresa 14,Corresponsal 92,970884,Baja
474,Empresa 30,Corresponsal 86,561430,Alta
475,Empresa 69,Corresponsal 10,236045,Media
486,Empresa 42,Corresponsal 71,319556,Media
489,Empresa 30,Corresponsal 68,544390,Alta
494,Empresa 154,Corresponsal 15,712913,Baja
500,Empresa 162,Corresponsal 65,723946,Media
504,Empresa 166,Corresponsal 94,514211,Alta
507,Empresa 29,Corresponsal 5,276221,Media
510,Empresa 7,Corresponsal 88,306190,Alta
511,Empresa 138,Corresponsal 34,708148,Alta
512,Empresa 7,Corresponsal 57,439652,Alta
515,Empresa 40,Corresponsal 67,497601,Media
516,Empresa 199,Corresponsal 17,194116,Media
521,Empresa 61,Corresponsal 43,296648,Baja
527,Empresa 144,Corresponsal 14,230143,Alta
528,Empresa 1,Corresponsal 15,556864,Alta
536,Empresa 162,Corresponsal 56,542974,Baja
537,Empresa 112,Corresponsal 43,166093,Media
540,Empresa 191,Corresponsal 19,159831,Baja
544,Empresa 29,Corresponsal 12,218668,Alta
546,Empresa 112,Corresponsal 23,888459,Alta
548,Empresa 179,Corresponsal 42,641771,Baja
551,Empresa 30,Corresponsal 96,738026,Baja
552,Empresa 0,Corresponsal 37,283190,Alta
555,Empresa 128,Corresponsal 62,685933,Alta
558,Empresa 191,Corresponsal 85,713726,Alta
562,Empresa 127,Corresponsal 100,828734,Media
565,Empresa 32,Corresponsal 49,392618,Alta
567,Empresa 191,Corresponsal 18,707342,Baja
568,Empresa 26,Corresponsal 89,744698,Alta
573,Empresa 151,Corresponsal 69,768606,Media
574,Empresa 21,Corresponsal 75,269099,Media
580,Empresa 22,Corresponsal 18,811177,Alta
581,Empresa 66,Corresponsal 7,591100,Baja
582,Empresa 127,Corresponsal 30,834190,Baja
583,Empresa 192,Corresponsal 66,639141,Baja
584,Empresa 148,Corresponsal 89,633978,Media
592,Empresa 6,Corresponsal 67,801378,Alta
594,Empresa 79,Corresponsal 33,738333,Alta
596,Empresa 81,Corresponsal 63,334270,Baja
603,Empresa 114,Corresponsal 95,275640,Media
604,Empresa 110,Corresponsal 82,514507,Alta
608,Empresa 56,Corresponsal 79,325870,Baja
609,Empresa 1,Corresponsal 23,251704,Alta
612,Empresa 124,Corresponsal 67,248581,Alta
613,Empresa 33,Corresponsal 48,971274,Media
614,Empresa 179,Corresponsal 75,664580,Media
615,Empresa 192,Corresponsal 36,713824,Alta
616,Empresa 109,Corresponsal 1,372537,Baja
617,Empresa 185,Corresponsal 84,622994,Media
620,Empresa 95,Corresponsal 50,326902,Baja
628,Empresa 74,Corresponsal 42,589588,Alta
631,Empresa 56,Corresponsal 83,783990,Media
638,Empresa 155,Corresponsal 87,360452,Alta
641,Empresa 36,Corresponsal 58,268704,Baja
642,Empresa 75,Corresponsal 13,541034,Media
643,Empresa 43,Corresponsal 22,450114,Baja
648,Empresa 29,Corresponsal 34,439015,Media
649,Empresa 33,Corresponsal 25,578383,Baja
653,Empresa 155,Corresponsal 90,800157,Alta
661,Empresa 38,Corresponsal 67,899300,Alta
673,Empresa 154,Corresponsal 53,674376,Baja
679,Empresa 155,Corresponsal 44,766831,Alta
683,Empresa 0,Corresponsal 76,452925,Alta
688,Empresa 42,Corresponsal 36,401837,Alta
692,Empresa 192,Corresponsal 44,177989,Alta
694,Empresa 52,Corresponsal 66,220899,Baja
697,Empresa 166,Corresponsal 61,810507,Media
699,Empresa 27,Corresponsal 90,856239,Media
700,Empresa 77,Corresponsal 83,860427,Media
708,Empresa 42,Corresponsal 58,487191,Baja
710,Empresa 191,Corresponsal 52,113953,Media
712,Empresa 64,Corresponsal 26,892577,Baja
714,Empresa 38,Corresponsal 60,814541,Media
721,Empresa 32,Corresponsal 91,846568,Baja
733,Empresa 132,Corresponsal 87,745374,Alta
735,Empresa 69,Corresponsal 48,947010,Media
736,Empresa 164,Corresponsal 19,405259,Baja
737,Empresa 69,Corresponsal 17,339844,Alta
740,Empresa 111,Corresponsal 34,861960,Media
741,Empresa 90,Corresponsal 73,491099,Media
748,Empresa 4,Corresponsal 74,806843,Alta
749,Empresa 138,Corresponsal 89,929096,Media
750,Empresa 142,Corresponsal 4,404045,Media
752,Empresa 110,Corresponsal 49,959306,Baja
766,Empresa 30,Corresponsal 95,308737,Alta
767,Empresa 164,Corresponsal 32,609827,Alta
768,Empresa 77,Corresponsal 46,801086,Media
776,Empresa 185,Corresponsal 83,394071,Media
778,Empresa 32,Corresponsal 7,103649,Media
779,Empresa 166,Corresponsal 5,931417,Baja
782,Empresa 132,Corresponsal 47,911399,Alta
784,Empresa 103,Corresponsal 53,769320,Media
785,Empresa 79,Corresponsal 26,559090,Media
787,Empresa 114,Corresponsal 1,956548,Alta
788,Empresa 7,Corresponsal 24,187667,Baja
790,Empresa 130,Corresponsal 10,659243,Alta
792,Empresa 23,Corresponsal 84,854353,Alta
793,Empresa 191,Corresponsal 44,719297,Alta
795,Empresa 148,Corresponsal 47,448736,Alta
796,Empresa 6,Corresponsal 35,454114,Alta
800,Empresa 79,Corresponsal 73,895310,Baja
802,Empresa 88,Corresponsal 54,602565,Baja
806,Empresa 192,Corresponsal 98,997418,Media
808,Empresa 11,Corresponsal 63,495690,Baja
816,Empresa 130,Corresponsal 90,298078,Media
825,Empresa 26,Corresponsal 58,964278,Alta
828,Empresa 32,Corresponsal 38,927893,Media
835,Empresa 118,Corresponsal 19,748920,Alta
836,Empresa 30,Corresponsal 60,522899,Media
840,Empresa 154,Corresponsal 66,652042,Baja
845,Empresa 79,Corresponsal 88,431733,Media
846,Empresa 25,Corresponsal 32,777879,Baja
849,Empresa 29,Corresponsal 34,802929,Baja
850,Empresa 46,Corresponsal 23,145468,Baja
854,Empresa 95,Corresponsal 75,930516,Baja
855,Empresa 151,Corresponsal 3,447666,Media
859,Empresa 4,Corresponsal 57,780910,Media
863,Empresa 135,Corresponsal 60,984623,Media
865,Empresa 23,Corresponsal 79,892507,Baja
866,Empresa 155,Corresponsal 100,771490,Media
867,Empresa 42,Corresponsal 68,896857,Baja
868,Empresa 53,Corresponsal 30,837763,Alta
870,Empresa 154,Corresponsal 93,140361,Baja
874,Empresa 149,Corresponsal 50,357436,Alta
875,Empresa 142,Corresponsal 8,615605,Baja
876,Empresa 69,Corresponsal 5,428961,Alta
882,Empresa 136,Corresponsal 40,280809,Alta
883,Empresa 7,Corresponsal 14,739281,Media
887,Empresa 60,Corresponsal 43,790162,Alta
891,Empresa 149,Corresponsal 97,276783,Media
892,Empresa 109,Corresponsal 62,954144,Alta
894,Empresa 52,Corresponsal 80,308561,Media
895,Empresa 120,Corresponsal 46,787425,Baja
898,Empresa 40,Corresponsal 87,427462,Alta
901,Empresa 90,Corresponsal 34,477299,Baja
904,Empresa 171,Corresponsal 20,290378,Alta
906,Empresa 74,Corresponsal 37,642083,Media
908,Empresa 27,Corresponsal 74,808745,Baja
911,Empresa 66,Corresponsal 44,408987,Alta
922,Empresa 42,Corresponsal 79,634114,Baja
923,Empresa 89,Corresponsal 93,256255,Baja
924,Empresa 32,Corresponsal 44,211847,Media
929,Empresa 158,Corresponsal 41,407018,Media
934,Empresa 14,Corresponsal 79,405666,Baja
936,Empresa 0,Corresponsal 65,467818,Baja
939,Empresa 11,Corresponsal 88,218789,Baja
942,Empresa 65,Corresponsal 42,379820,Alta
952,Empresa 33,Corresponsal 9,980825,Alta
955,Empresa 160,Corresponsal 51,340688,Baja
958,Empresa 148,Corresponsal 20,413044,Baja
965,Empresa 23,Corresponsal 37,597226,Alta
968,Empresa 29,Corresponsal 70,418040,Alta
972,Empresa 162,Corresponsal 75,331717,Alta
974,Empresa 46,Corresponsal 49,397288,Media
978,Empresa 52,Corresponsal 32,405101,Baja
979,Empresa 69,Corresponsal 80,891898,Baja
984,Empresa 36,Corresponsal 70,773591,Alta
985,Empresa 156,Corresponsal 64,805203,Media
992,Empresa 164,Corresponsal 63,732387,Alta
993,Empresa 46,Corresponsal 13,447295,Baja
994,Empresa 118,Corresponsal 74,383080,Baja
999,Empresa 52,Corresponsal 62,813688,Baja
1002,Empresa 136,Corresponsal 44,540562,Media
1003,Empresa 17,Corresponsal 24,219010,Alta
1007,Empresa 128,Corresponsal 11,946679,Baja
1008,Empresa 179,Corresponsal 50,917175,Alta
1009,Empresa 33,Corresponsal 20,388634,Media
1010,Empresa 21,Corresponsal 38,575823,Media
1013,Empresa 6,Corresponsal 23,789449,Media
1014,Empresa 40,Corresponsal 35,109286,Media
1015,Empresa 179,Corresponsal 66,305176,Baja
1017,Empresa 118,Corresponsal 100,301159,Media
1019,Empresa 66,Corresponsal 40,719379,Alta
1021,Empresa 140,Corresponsal 40,115087,Alta
1024,Empresa 75,Corresponsal 71,717372,Alta
1028,Empresa 191,Corresponsal 81,912814,Media
1029,Empresa 60,Corresponsal 25,580558,Media
1030,Empresa 43,Corresponsal 21,546016,Media
1032,Empresa 33,Corresponsal 6,203593,Baja
1034,Empresa 124,Corresponsal 99,909352,Alta
1036,Empresa 158,Corresponsal 87,131720,Baja
1037,Empresa 40,Corresponsal 43,674092,Media
1038,Empresa 17,Corresponsal 51,696576,Alta
1041,Empresa 164,Corresponsal 4,135885,Baja
1042,Empresa 56,Corresponsal 28,706945,Media
1044,Empresa 166,Corresponsal 5,320762,Alta
1051,Empresa 80,Corresponsal 85,518336,Media
1053,Empresa 120,Corresponsal 45,885514,Alta
1055,Empresa 128,Corresponsal 94,949183,Alta
1058,Empresa 32,Corresponsal 36,919607,Baja
1059,Empresa 155,Corresponsal 54,240347,Alta
1065,Empresa 171,Corresponsal 90,543063,Baja
1079,Empresa 95,Corresponsal 82,932055,Baja
1080,Empresa 51,Corresponsal 21,912698,Baja
1085,Empresa 101,Corresponsal 77,461167,Alta
1088,Empresa 196,Corresponsal 18,266802,Baja
1096,Empresa 55,Corresponsal 80,252558,Media
1100,Empresa 151,Corresponsal 38,283249,Baja
1102,Empresa 85,Corresponsal 34,345770,Alta
1108,Empresa 148,Corresponsal 45,689803,Alta
1112,Empresa 64,Corresponsal 26,604026,Alta
1113,Empresa 20,Corresponsal 51,133441,Alta
1121,Empresa 127,Corresponsal 22,665685,Alta
1126,Empresa 38,Corresponsal 26,411783,Baja
1127,Empresa 50,Corresponsal 1,251471,Baja
1129,Empresa 132,Corresponsal 13,270800,Alta
1130,Empresa 155,Corresponsal 55,452160,Alta
1132,Empresa 185,Corresponsal 25,219439,Media
1135,Empresa 177,Corresponsal 26,574805,Media
1138,Empresa 80,Corresponsal 76,188112,Alta
1139,Empresa 144,Corresponsal 22,237229,Baja
1142,Empresa 103,Corresponsal 55,897647,Baja
1144,Empresa 171,Corresponsal 13,466051,Baja
1145,Empresa 43,Corresponsal 31,843157,Media
1147,Empresa 195,Corresponsal 22,236029,Alta
1150,Empresa 25,Corresponsal 4,787996,Baja
1153,Empresa 195,Corresponsal 2,420595,Baja
1157,Empresa 43,Corresponsal 81,613053,Baja
1167,Empresa 80,Corresponsal 26,828404,Media
1168,Empresa 157,Corresponsal 39,413247,Baja
1170,Empresa 38,Corresponsal 37,893595,Media
1174,Empresa 199,Corresponsal 96,530411,Alta
1175,Empresa 171,Corresponsal 45,815916,Baja
1182,Empresa 196,Corresponsal 47,638804,Media
1185,Empresa 135,Corresponsal 82,382475,Baja
1187,Empresa 112,Corresponsal 63,905553,Baja
1188,Empresa 85,Corresponsal 2,479119,Media
1189,Empresa 114,Corresponsal 2,682771,Baja
1190,Empresa 142,Corresponsal 19,601924,Media
1196,Empresa 171,Corresponsal 33,634011,Media
1198,Empresa 14,Corresponsal 50,656664,Baja
1199,Empresa 166,Corresponsal 48,722172,Media
1202,Empresa 162,Corresponsal 54,299964,Media
1203,Empresa 101,Corresponsal 5,799077,Media
1204,Empresa 75,Corresponsal 20,776274,Alta
1210,Empresa 20,Corresponsal 7,171325,Baja
1212,Empresa 27,Corresponsal 45,414869,Alta
1213,Empresa 138,Corresponsal 98,461327,Baja
1216,Empresa 135,Corresponsal 89,788877,Baja
1220,Empresa 103,Corresponsal 17,655650,Baja
1222,Empresa 109,Corresponsal 30,885634,Media
1232,Empresa 118,Corresponsal 76,806796,Alta
1236,Empresa 142,Corresponsal 23,783789,Baja
1238,Empresa 90,Corresponsal 12,626388,Alta
1239,Empresa 102,Corresponsal 4,370322,Alta
1242,Empresa 4,Corresponsal 29,293902,Media
1247,Empresa 138,Corresponsal 45,906370,Media
1252,Empresa 192,Corresponsal 91,189154,Media
1258,Empresa 188,Corresponsal 10,275869,Media
1260,Empresa 101,Corresponsal 92,155019,Media
1264,Empresa 60,Corresponsal 78,885794,Baja
1270,Empresa 112,Corresponsal 68,714378,Alta
1271,Empresa 144,Corresponsal 87,564355,Baja
1273,Empresa 124,Corresponsal 82,645809,Alta
1275,Empresa 17,Corresponsal 12,889219,Baja
1278,Empresa 110,Corresponsal 82,807071,Alta
1280,Empresa 112,Corresponsal 38,349591,Alta
1281,Empresa 85,Corresponsal 68,514116,Media
1282,Empresa 192,Corresponsal 18,156713,Media
1286,Empresa 118,Corresponsal 14,996151,Alta
1288,Empresa 67,Corresponsal 82,847090,Alta
1290,Empresa 52,Corresponsal 72,601680,Alta
1294,Empresa 101,Corresponsal 31,380600,Media
1295,Empresa 140,Corresponsal 8,545213,Baja
1297,Empresa 17,Corresponsal 82,542633,Baja
1303,Empresa 64,Corresponsal 36,667582,Media
1305,Empresa 42,Corresponsal 51,406720,Media
1307,Empresa 156,Corresponsal 83,157207,Media
1309,Empresa 14,Corresponsal 41,313795,Baja
1310,Empresa 110,Corresponsal 69,578578,Media
1312,Empresa 124,Corresponsal 85,491414,Media
1314,Empresa 91,Corresponsal 76,482910,Baja
1315,Empresa 27,Corresponsal 89,703030,Baja
1316,Empresa 140,Corresponsal 84,524917,Alta
1317,Empresa 85,Corresponsal 10,647617,Alta
1318,Empresa 151,Corresponsal 10,570325,Alta
1319,Empresa 127,Corresponsal 34,916878,Baja
1322,Empresa 128,Corresponsal 35,949365,Media
1324,Empresa 95,Corresponsal 89,521159,Baja
1325,Empresa 42,Corresponsal 87,436951,Alta
1331,Empresa 118,Corresponsal 87,883591,Baja
1332,Empresa 144,Corresponsal 42,705360,Baja
1333,Empresa 164,Corresponsal 28,833045,Baja
1334,Empresa 195,Corresponsal 12,485496,Alta
1335,Empresa 52,Corresponsal 79,997867,Media
1340,Empresa 30,Corresponsal 14,416075,Media
1344,Empresa 42,Corresponsal 33,948391,Alta
1345,Empresa 164,Corresponsal 95,913800,Baja
1347,Empresa 177,Corresponsal 44,253454,Media
1348,Empresa 33,Corresponsal 85,517796,Media
1349,Empresa 64,Corresponsal 39,535914,Media
1357,Empresa 142,Corresponsal 23,342022,Alta
1358,Empresa 61,Corresponsal 34,731331,Media
1359,Empresa 27,Corresponsal 37,848979,Alta
1366,Empresa 130,Corresponsal 41,626597,Media
1372,Empresa 177,Corresponsal 71,998039,Baja
1379,Empresa 66,Corresponsal 84,592562,Media
1382,Empresa 81,Corresponsal 66,126474,Alta
1385,Empresa 171,Corresponsal 57,317318,Baja
1389,Empresa 103,Corresponsal 42,148946,Alta
1394,Empresa 128,Corresponsal 83,728102,Media
1396,Empresa 124,Corresponsal 21,274516,Alta
1400,Empresa 22,Corresponsal 77,656643,Media
1403,Empresa 57,Corresponsal 14,663690,Alta
1404,Empresa 14,Corresponsal 61,939386,Media
1406,Empresa 33,Corresponsal 87,533338,Baja
1407,Empresa 162,Corresponsal 74,515899,Alta
1411,Empresa 103,Corresponsal 43,233100,Alta
1412,Empresa 66,Corresponsal 9,332369,Media
1415,Empresa 142,Corresponsal 6,132428,Media
1420,Empresa 114,Corresponsal 73,992809,Baja
1423,Empresa 166,Corresponsal 28,423654,Media
1430,Empresa 57,Corresponsal 70,520033,Baja
1433,Empresa 144,Corresponsal 33,871024,Baja
1438,Empresa 60,Corresponsal 26,365991,Baja
1441,Empresa 138,Corresponsal 69,306273,Baja
1442,Empresa 179,Corresponsal 76,984433,Alta
1445,Empresa 32,Corresponsal 1,292605,Alta
1449,Empresa 135,Corresponsal 32,452313,Baja
1453,Empresa 101,Corresponsal 24,569402,Alta
1455,Empresa 144,Corresponsal 1,199352,Alta
1456,Empresa 81,Corresponsal 93,327750,Alta
1457,Empresa 26,Corresponsal 21,684053,Alta
1463,Empresa 91,Corresponsal 59,581798,Alta
1465,Empresa 26,Corresponsal 80,712559,Baja
1469,Empresa 135,Corresponsal 80,859624,Baja
1470,Empresa 160,Corresponsal 86,964870,Media
1471,Empresa 29,Corresponsal 22,145005,Baja
1472,Empresa 188,Corresponsal 91,829054,Baja
1475,Empresa 148,Corresponsal 60,329404,Media
1480,Empresa 102,Corresponsal 11,660773,Alta
1485,Empresa 156,Corresponsal 37,684917,Media
1487,Empresa 0,Corresponsal 19,484878,Media
1489,Empresa 6,Corresponsal 12,736662,Media
1493,Empresa 192,Corresponsal 67,198883,Alta
1494,Empresa 148,Corresponsal 80,927322,Baja
1495,Empresa 109,Corresponsal 7,508311,Media
1498,Empresa 118,Corresponsal 87,502988,Baja
1499,Empresa 60,Corresponsal 57,408739,Baja
1500,Empresa 188,Corresponsal 49,506187,Alta
1505,Empresa 40,Corresponsal 80,163440,Media
1510,Empresa 43,Corresponsal 94,396220,Alta
1514,Empresa 46,Corresponsal 88,754720,Alta
1515,Empresa 103,Corresponsal 5,644446,Baja
1516,Empresa 23,Corresponsal 97,438827,Baja
1518,Empresa 81,Corresponsal 54,336250,Media
1520,Empresa 68,Corresponsal 99,912858,Baja
1522,Empresa 26,Corresponsal 2,710800,Baja
1525,Empresa 8,Corresponsal 46,794504,Media
1526,Empresa 132,Corresponsal 1,986459,Baja
1532,Empresa 14,Corresponsal 64,235887,Media
1533,Empresa 8,Corresponsal 93,136502,Alta
1537,Empresa 69,Corresponsal 30,216593,Media
1543,Empresa 89,Corresponsal 21,726295,Baja
1545,Empresa 67,Corresponsal 68,355865,Alta
1546,Empresa 14,Corresponsal 95,864004,Alta
1547,Empresa 29,Corresponsal 70,209343,Alta
1551,Empresa 80,Corresponsal 81,572081,Baja
1554,Empresa 144,Corresponsal 50,851951,Alta
1563,Empresa 90,Corresponsal 16,507552,Alta
1568,Empresa 128,Corresponsal 6,337030,Baja
1570,Empresa 1,Corresponsal 89,559552,Baja
1580,Empresa 144,Corresponsal 37,705171,Baja
1581,Empresa 103,Corresponsal 55,106703,Alta
1582,Empresa 120,Corresponsal 92,129841,Baja
1589,Empresa 43,Corresponsal 67,595162,Alta
1590,Empresa 80,Corresponsal 16,568383,Media
1594,Empresa 55,Corresponsal 74,561459,Baja
1596,Empresa 157,Corresponsal 76,870022,Media
1597,Empresa 60,Corresponsal 55,803183,Alta
1598,Empresa 155,Corresponsal 5,912220,Baja
1602,Empresa 132,Corresponsal 35,811067,Media
1603,Empresa 90,Corresponsal 5,228006,Alta
1607,Empresa 7,Corresponsal 32,223643,Media
1612,Empresa 53,Corresponsal 89,805516,Media
1613,Empresa 61,Corresponsal 60,231846,Media
1614,Empresa 7,Corresponsal 99,423084,Alta
1615,Empresa 110,Corresponsal 53,699829,Baja
1616,Empresa 32,Corresponsal 95,407477,Media
1619,Empresa 130,Corresponsal 35,774075,Media
1620,Empresa 89,Corresponsal 58,446861,Baja
1624,Empresa 65,Corresponsal 31,688636,Media
1627,Empresa 185,Corresponsal 20,883213,Alta
1629,Empresa 154,Corresponsal 71,511362,Baja
1634,Empresa 32,Corresponsal 86,677058,Baja
1635,Empresa 69,Corresponsal 95,354661,Baja
1636,Empresa 40,Corresponsal 31,258776,Alta
1642,Empresa 154,Corresponsal 24,746279,Alta
1644,Empresa 38,Corresponsal 33,728596,Alta
1648,Empresa 120,Corresponsal 54,912614,Alta
1653,Empresa 162,Corresponsal 2,362626,Media
1657,Empresa 85,Corresponsal 89,701326,Media
1659,Empresa 196,Corresponsal 47,701934,Alta
