documento,producto,cantidad,colores,Premium
16,Producto 1168,5,Plateado,True
16,Producto 773,3,Multicolor,False
17,Producto 1440,3,Rojo,True
17,Producto 416,3,Rojo,True
17,Producto 833,5,Dorado,False
17,Producto 718,9,Rojo,False
17,Producto 1048,5,Azul,True
17,Producto 1408,2,Multicolor,True
17,Producto 1420,10,Gris,False
17,Producto 1476,6,Plateado,False
18,Producto 113,5,Negro,False
18,Producto 263,2,Negro,True
18,Producto 733,2,Plateado,True
19,Producto 1145,8,Negro,True
19,Producto 1204,2,Dorado,False
19,Producto 145,2,Multicolor,True
19,Producto 12,1,Azul,True
19,Producto 411,8,Gris,True
19,Producto 265,5,Rojo,True
19,Producto 1324,10,Plateado,False
20,Producto 686,1,Dorado,False
20,Producto 1022,10,Multicolor,False
20,Producto 915,10,Azul,True
20,Producto 972,10,Gris,True
20,Producto 1321,8,Azul,True
20,Producto 1354,1,Gris,True
20,Producto 1287,1,Multicolor,False
21,Producto 971,9,Rojo,True
21,Producto 672,3,Gris,True
21,Producto 1000,7,Dorado,True
21,Producto 669,1,Negro,True
21,Producto 153,6,Dorado,False
21,Producto 1374,7,Gris,False
22,Producto 266,4,Azul,True
22,Producto 1233,4,Gris,False
22,Producto 656,4,Dorado,False
22,Producto 910,2,Azul,False
22,Producto 1296,5,Gris,False
22,Producto 1351,3,Gris,True
22,Producto 47,6,Negro,True
23,Producto 1092,7,Rojo,True
23,Producto 760,2,Dorado,False
23,Producto 158,8,Plateado,True
23,Producto 1021,5,Negro,True
23,Producto 613,2,Dorado,True
24,Producto 828,8,Azul,True
24,Producto 434,2,Gris,False
25,Producto 106,2,Multicolor,False
25,Producto 1490,9,Gris,False
25,Producto 1224,4,Rojo,False
25,Producto 1435,10,Dorado,False
25,Producto 368,9,Dorado,True
26,Producto 1135,4,Negro,True
27,Producto 271,7,Gris,True
27,Producto 622,3,Plateado,False
27,Producto 153,3,Dorado,False
27,Producto 941,5,Dorado,False
27,Producto 309,8,Gris,False
27,Producto 653,10,Azul,False
27,Producto 1042,6,Rojo,False
27,Producto 48,2,Azul,False
27,Producto 474,3,Multicolor,False
27,Producto 98,5,Gris,True
28,Producto 447,7,Negro,True
28,Producto 930,6,Gris,False
28,Producto 546,9,Dorado,True
28,Producto 95,10,Plateado,True
28,Producto 214,9,Multicolor,True
28,Producto 923,3,Rojo,True
29,Producto 574,10,Negro,False
29,Producto 226,8,Dorado,True
29,Producto 1442,8,Negro,True
29,Producto 1152,1,Azul,True
29,Producto 270,3,Multicolor,False
29,Producto 506,7,Plateado,True
29,Producto 1096,7,Azul,False
29,Producto 1082,10,Rojo,True
29,Producto 1350,3,Multicolor,False
29,Producto 329,2,Rojo,True
30,Producto 320,9,Multicolor,True
30,Producto 1491,2,Multicolor,False
30,Producto 706,3,Negro,False
30,Producto 159,7,Dorado,True
31,Producto 405,3,Plateado,True
31,Producto 232,6,Azul,True
32,Producto 755,5,Multicolor,False
33,Producto 828,9,Negro,False
33,Producto 951,5,Azul,True
34,Producto 14,4,Plateado,False
34,Producto 668,7,Gris,False
34,Producto 1207,6,Gris,False
34,Producto 687,6,Dorado,False
34,Producto 830,9,Gris,True
34,Producto 1111,7,Plateado,False
34,Producto 1079,8,Rojo,False
34,Producto 1486,10,Dorado,False
34,Producto 666,1,Negro,False
35,Producto 1284,10,Negro,False
35,Producto 219,9,Plateado,False
35,Producto 566,8,Gris,False
36,Producto 1069,7,Dorado,False
36,Producto 910,2,Multicolor,False
36,Producto 1400,1,Gris,True
36,Producto 423,3,Multicolor,True
37,Producto 1447,5,Plateado,False
37,Producto 1003,5,Negro,False
37,Producto 476,1,Multicolor,False
37,Producto 767,4,Multicolor,False
37,Producto 1369,2,Gris,False
37,Producto 677,1,Dorado,True
38,Producto 1290,7,Negro,True
38,Producto 872,6,Dorado,False
38,Producto 970,2,Plateado,True
38,Producto 1064,5,Plateado,True
38,Producto 620,1,Multicolor,True
38,Producto 125,2,Multicolor,True
38,Producto 206,3,Dorado,True
38,Producto 1145,9,Plateado,False
39,Producto 895,6,Azul,False
40,Producto 838,8,Gris,True
40,Producto 617,6,Gris,True
40,Producto 227,10,Plateado,False
40,Producto 1415,3,Negro,False
40,Producto 1334,1,Plateado,False
40,Producto 779,10,Dorado,True
41,Producto 1012,1,Azul,True
41,Producto 217,9,Plateado,True
41,Producto 1305,1,Plateado,True
42,Producto 839,7,Plateado,False
42,Producto 301,8,Negro,True
42,Producto 1130,1,Rojo,False
42,Producto 937,2,Plateado,False
42,Producto 806,8,Plateado,True
42,Producto 1266,4,Azul,False
43,Producto 140,9,Dorado,False
43,Producto 993,2,Rojo,False
43,Producto 555,7,Negro,True
43,Producto 307,6,Multicolor,True
43,Producto 91,3,Plateado,True
43,Producto 164,1,Plateado,True
43,Producto 129,5,Azul,False
43,Producto 1344,2,Negro,True
43,Producto 25,3,Plateado,True
43,Producto 1248,1,Negro,False
44,Producto 1357,2,Plateado,True
44,Producto 569,9,Azul,False
45,Producto 613,4,Gris,False
45,Producto 1293,1,Dorado,False
45,Producto 908,4,Gris,True
45,Producto 692,1,Azul,False
45,Producto 574,1,Rojo,False
46,Producto 536,5,Rojo,False
46,Producto 96,7,Multicolor,True
46,Producto 1028,7,Gris,True
46,Producto 816,9,Plateado,False
46,Producto 1316,4,Rojo,False
46,Producto 127,6,Multicolor,False
47,Producto 1050,2,Plateado,True
47,Producto 561,3,Multicolor,True
47,Producto 871,6,Negro,True
47,Producto 1018,1,Multicolor,False
47,Producto 257,5,Multicolor,True
47,Producto 494,8,Plateado,False
48,Producto 1221,9,Gris,False
48,Producto 972,1,Gris,True
48,Producto 1095,9,Multicolor,True
48,Producto 251,9,Plateado,True
49,Producto 1217,4,Multicolor,False
49,Producto 1059,8,Multicolor,False
49,Producto 933,4,Plateado,True
49,Producto 245,9,Plateado,True
49,Producto 8,2,Dorado,False
50,Producto 611,3,Plateado,True
50,Producto 396,6,Plateado,True
50,Producto 646,7,Rojo,True
50,Producto 1369,10,Dorado,True
50,Producto 1316,3,Gris,False
50,Producto 776,5,Azul,True
50,Producto 292,4,Gris,True
50,Producto 365,5,Plateado,False
50,Producto 1231,9,Azul,False
51,Producto 38,2,Gris,False
51,Producto 535,7,Gris,True
51,Producto 5,5,Dorado,False
51,Producto 1490,2,Dorado,True
51,Producto 1389,10,Rojo,False
51,Producto 1455,10,Plateado,False
51,Producto 259,4,Dorado,False
51,Producto 1470,4,Plateado,True
51,Producto 1196,2,Multicolor,True
51,Producto 54,5,Multicolor,False
52,Producto 1129,10,Gris,True
52,Producto 769,6,Azul,False
52,Producto 1285,2,Rojo,True
52,Producto 5,10,Multicolor,False
52,Producto 281,6,Gris,True
52,Producto 1438,4,Azul,True
53,Producto 921,8,Gris,False
53,Producto 587,6,Plateado,True
53,Producto 385,3,Negro,True
53,Producto 445,7,Rojo,False
53,Producto 1097,3,Dorado,False
53,Producto 503,4,Gris,False
54,Producto 651,9,Multicolor,True
54,Producto 1442,7,Gris,False
54,Producto 958,7,Rojo,True
54,Producto 237,10,Dorado,False
54,Producto 277,5,Dorado,False
54,Producto 249,4,Negro,True
54,Producto 931,10,Negro,False
54,Producto 877,1,Gris,True
54,Producto 685,5,Azul,False
55,Producto 462,2,Multicolor,False
56,Producto 784,8,Rojo,True
57,Producto 905,2,Gris,False
57,Producto 571,7,Dorado,True
57,Producto 191,3,Rojo,True
57,Producto 1007,8,Negro,True
57,Producto 571,4,Multicolor,False
57,Producto 1087,4,Gris,False
58,Producto 440,4,Rojo,True
58,Producto 510,9,Rojo,True
58,Producto 1186,5,Azul,True
58,Producto 118,2,Rojo,False
58,Producto 302,4,Azul,True
58,Producto 223,2,Dorado,True
58,Producto 709,7,Plateado,True
58,Producto 1281,7,Multicolor,True
58,Producto 760,3,Plateado,False
58,Producto 274,3,Gris,True
59,Producto 1497,7,Gris,False
59,Producto 481,7,Negro,False
60,Producto 581,2,Rojo,True
60,Producto 978,1,Negro,True
60,Producto 1123,3,Gris,True
61,Producto 1363,10,Azul,True
61,Producto 826,9,Dorado,True
61,Producto 680,10,Rojo,True
61,Producto 1085,1,Multicolor,True
61,Producto 1482,1,Plateado,False
61,Producto 528,8,Rojo,True
61,Producto 524,7,Multicolor,False
62,Producto 20,9,Dorado,False
62,Producto 370,6,Azul,False
62,Producto 473,2,Negro,False
62,Producto 1396,4,Dorado,True
62,Producto 763,2,Azul,False
62,Producto 140,10,Negro,False
62,Producto 27,6,Multicolor,False
63,Producto 1015,7,Plateado,True
63,Producto 78,6,Dorado,True
63,Producto 249,5,Multicolor,True
63,Producto 832,4,Plateado,True
63,Producto 889,4,Negro,False
63,Producto 1389,2,Multicolor,False
63,Producto 333,2,Dorado,False
64,Producto 1464,6,Plateado,False
64,Producto 5,4,Azul,True
64,Producto 625,5,Plateado,True
64,Producto 414,8,Plateado,False
64,Producto 780,4,Rojo,False
64,Producto 414,6,Azul,False
64,Producto 991,6,Negro,False
65,Producto 1405,9,Plateado,True
66,Producto 1249,4,Dorado,True
66,Producto 1326,10,Rojo,False
66,Producto 1206,7,Dorado,True
66,Producto 1228,1,Azul,False
66,Producto 539,4,Gris,False
67,Producto 406,1,Gris,True
67,Producto 189,8,Plateado,True
67,Producto 487,2,Plateado,True
67,Producto 1371,2,Dorado,True
67,Producto 1292,2,Azul,True
67,Producto 75,7,Plateado,False
67,Producto 1170,2,Gris,False
67,Producto 412,1,Rojo,True
68,Producto 449,8,Negro,True
68,Producto 1314,7,Plateado,True
68,Producto 1021,4,Rojo,True
69,Producto 1302,1,Negro,False
69,Producto 1357,3,Rojo,True
69,Producto 180,9,Plateado,False
69,Producto 1191,4,Azul,True
69,Producto 594,6,Dorado,True
69,Producto 178,2,Gris,True
69,Producto 1162,10,Dorado,False
69,Producto 1070,9,Negro,True
69,Producto 1113,10,Plateado,True
69,Producto 323,2,Rojo,False
70,Producto 1024,9,Rojo,True
70,Producto 604,7,Multicolor,False
70,Producto 707,4,Rojo,True
70,Producto 616,6,Gris,True
70,Producto 596,1,Dorado,False
70,Producto 431,8,Gris,True
70,Producto 733,5,Gris,True
70,Producto 950,10,Multicolor,False
70,Producto 1445,6,Azul,False
70,Producto 1041,3,Gris,False
71,Producto 1497,9,Multicolor,False
72,Producto 292,7,Plateado,False
72,Producto 962,2,Dorado,True
72,Producto 290,9,Rojo,True
72,Producto 1298,7,Dorado,True
72,Producto 987,4,Dorado,True
72,Producto 961,4,Negro,False
72,Producto 686,7,Dorado,True
72,Producto 67,6,Negro,True
72,Producto 1497,10,Gris,False
73,Producto 11,7,Azul,True
73,Producto 1012,8,Negro,False
73,Producto 551,2,Dorado,False
73,Producto 850,2,Negro,True
73,Producto 1190,6,Rojo,True
73,Producto 883,2,Plateado,False
74,Producto 15,1,Multicolor,True
74,Producto 793,8,Azul,True
74,Producto 136,9,Azul,True
74,Producto 1402,9,Negro,False
75,Producto 1031,8,Dorado,True
76,Producto 912,6,Rojo,False
76,Producto 527,1,Azul,True
76,Producto 1344,6,Gris,True
76,Producto 1234,2,Multicolor,True
76,Producto 843,7,Gris,False
77,Producto 748,4,Azul,False
77,Producto 24,1,Azul,False
77,Producto 665,5,Rojo,False
77,Producto 875,10,Rojo,True
77,Producto 1459,4,Gris,False
77,Producto 924,3,Rojo,True
77,Producto 436,7,Plateado,True
77,Producto 895,5,Plateado,True
77,Producto 1458,2,Gris,True
77,Producto 191,7,Azul,True
78,Producto 1473,9,Plateado,False
78,Producto 391,3,Gris,True
78,Producto 1084,1,Rojo,False
78,Producto 99,10,Azul,False
78,Producto 684,2,Rojo,False
79,Producto 1022,10,Multicolor,False
79,Producto 538,7,Negro,True
79,Producto 1316,10,Multicolor,False
79,Producto 461,8,Plateado,True
79,Producto 867,7,Negro,True
79,Producto 1135,8,Plateado,True
79,Producto 633,5,Multicolor,True
79,Producto 266,9,Plateado,True
80,Producto 1161,4,Gris,False
80,Producto 70,10,Gris,False
80,Producto 499,7,Gris,False
80,Producto 372,6,Multicolor,True
80,Producto 890,2,Multicolor,True
80,Producto 328,6,Dorado,False
80,Producto 482,2,Negro,False
80,Producto 1310,4,Plateado,False
80,Producto 311,4,Negro,False
80,Producto 1012,6,Plateado,True
81,Producto 1221,3,Negro,True
81,Producto 852,4,Azul,True
81,Producto 345,6,Plateado,False
81,Producto 7,8,Multicolor,True
81,Producto 160,1,Multicolor,True
81,Producto 82,3,Negro,False
81,Producto 330,2,Dorado,True
81,Producto 233,10,Multicolor,False
82,Producto 382,2,Multicolor,False
82,Producto 137,10,Azul,False
82,Producto 1126,5,Gris,True
82,Producto 719,10,Gris,False
83,Producto 227,8,Multicolor,False
83,Producto 778,7,Negro,True
83,Producto 524,7,Plateado,False
83,Producto 1403,2,Multicolor,True
83,Producto 1330,6,Gris,True
84,Producto 496,8,Plateado,True
84,Producto 700,1,Gris,False
85,Producto 137,6,Azul,True
85,Producto 531,5,Negro,True
85,Producto 1209,1,Azul,True
85,Producto 936,5,Dorado,True
85,Producto 135,8,Gris,False
85,Producto 1006,7,Dorado,False
85,Producto 861,10,Negro,True
86,Producto 899,7,Plateado,False
86,Producto 548,9,Rojo,False
86,Producto 524,2,Rojo,True
86,Producto 436,9,Rojo,False
86,Producto 784,9,Plateado,False
86,Producto 442,3,Plateado,True
86,Producto 286,3,Gris,False
86,Producto 1264,8,Rojo,False
87,Producto 1229,9,Plateado,False
87,Producto 19,7,Multicolor,True
87,Producto 1015,10,Rojo,False
88,Producto 1188,2,Multicolor,False
88,Producto 1310,8,Azul,False
88,Producto 1059,6,Azul,True
88,Producto 1226,9,Multicolor,False
88,Producto 372,10,Multicolor,False
88,Producto 513,10,Dorado,False
88,Producto 1357,8,Multicolor,True
88,Producto 823,1,Dorado,False
89,Producto 97,1,Dorado,False
89,Producto 357,7,Multicolor,True
89,Producto 326,5,Plateado,True
89,Producto 79,4,Rojo,False
89,Producto 692,3,Gris,True
90,Producto 578,9,Multicolor,False
90,Producto 95,8,Gris,True
90,Producto 1026,9,Azul,False
90,Producto 1142,3,Dorado,True
90,Producto 1325,3,Rojo,False
90,Producto 52,3,Multicolor,False
90,Producto 603,7,Gris,True
91,Producto 1424,10,Rojo,False
91,Producto 203,5,Negro,False
91,Producto 1375,1,Azul,True
91,Producto 1151,7,Multicolor,True
91,Producto 334,1,Dorado,False
91,Producto 160,7,Gris,False
92,Producto 629,10,Rojo,False
92,Producto 1229,5,Plateado,True
92,Producto 354,6,Negro,True
93,Producto 559,1,Azul,False
93,Producto 7,5,Gris,False
93,Producto 413,7,Rojo,False
93,Producto 417,5,Dorado,True
93,Producto 477,9,Plateado,False
93,Producto 920,3,Negro,True
93,Producto 1476,6,Dorado,True
93,Producto 1321,3,Multicolor,True
93,Producto 59,6,Plateado,True
94,Producto 1259,4,Rojo,False
94,Producto 1120,2,Gris,True
95,Producto 1244,3,Gris,True
95,Producto 1079,7,Plateado,True
95,Producto 1049,1,Rojo,True
95,Producto 596,2,Azul,True
95,Producto 358,1,Gris,True
95,Producto 348,3,Plateado,False
95,Producto 314,1,Multicolor,True
96,Producto 670,3,Negro,False
96,Producto 286,1,Dorado,False
96,Producto 218,1,Azul,False
96,Producto 1111,7,Multicolor,True
97,Producto 828,5,Negro,False
97,Producto 1349,8,Rojo,True
97,Producto 222,1,Gris,True
97,Producto 566,9,Azul,True
97,Producto 338,7,Plateado,False
97,Producto 235,5,Negro,False
97,Producto 364,7,Gris,False
98,Producto 1452,8,Azul,True
98,Producto 1350,6,Rojo,True
98,Producto 887,2,Rojo,False
98,Producto 1064,2,Rojo,True
98,Producto 538,7,Plateado,True
98,Producto 890,6,Rojo,True
99,Producto 1320,7,Gris,False
99,Producto 910,1,Rojo,False
99,Producto 789,7,Dorado,True
99,Producto 891,1,Negro,False
100,Producto 1440,1,Rojo,True
100,Producto 43,1,Dorado,False
100,Producto 1013,7,Azul,True
100,Producto 905,2,Multicolor,True
100,Producto 1069,4,Negro,True
101,Producto 550,3,Plateado,False
101,Producto 147,7,Azul,True
101,Producto 55,1,Gris,True
101,Producto 1166,4,Azul,False
101,Producto 372,7,Azul,True
101,Producto 1419,8,Azul,True
101,Producto 621,1,Negro,False
102,Producto 497,1,Rojo,True
102,Producto 338,1,Plateado,True
102,Producto 765,7,Rojo,False
102,Producto 541,9,Negro,True
103,Producto 1424,5,Negro,True
103,Producto 368,2,Gris,True
103,Producto 960,1,Azul,False
103,Producto 546,3,Gris,True
103,Producto 1243,6,Rojo,True
103,Producto 172,3,Gris,True
103,Producto 737,8,Dorado,True
103,Producto 759,7,Multicolor,True
103,Producto 811,7,Azul,False
103,Producto 1411,2,Rojo,True
104,Producto 1173,8,Plateado,False
104,Producto 758,3,Azul,True
104,Producto 83,5,Negro,True
104,Producto 756,4,Rojo,False
104,Producto 1339,10,Dorado,True
104,Producto 108,6,Dorado,False
104,Producto 704,8,Azul,True
104,Producto 463,10,Gris,True
104,Producto 51,6,Dorado,False
104,Producto 66,10,Multicolor,False
105,Producto 141,2,Gris,True
105,Producto 832,1,Azul,False
105,Producto 1450,2,Multicolor,True
105,Producto 350,4,Dorado,True
106,Producto 1243,4,Dorado,False
107,Producto 780,3,Gris,True
107,Producto 1120,3,Plateado,False
108,Producto 843,5,Plateado,False
108,Producto 27,9,Plateado,True
108,Producto 1243,7,Rojo,False
108,Producto 353,3,Multicolor,True
108,Producto 714,9,Plateado,True
109,Producto 212,2,Negro,True
109,Producto 378,7,Azul,False
109,Producto 1326,4,Plateado,False
109,Producto 1139,2,Azul,True
110,Producto 662,3,Gris,True
110,Producto 900,2,Multicolor,False
110,Producto 1468,5,Negro,True
110,Producto 330,7,Gris,False
111,Producto 58,10,Rojo,False
112,Producto 1405,10,Plateado,False
112,Producto 1133,3,Azul,True
112,Producto 1236,3,Gris,True
112,Producto 410,1,Rojo,True
112,Producto 1060,6,Multicolor,False
112,Producto 11,10,Rojo,True
113,Producto 1126,2,Gris,True
113,Producto 808,6,Gris,True
113,Producto 1021,3,Azul,False
113,Producto 950,8,Multicolor,False
113,Producto 828,10,Negro,False
113,Producto 537,4,Negro,True
113,Producto 833,5,Multicolor,False
113,Producto 269,3,Dorado,True
113,Producto 524,7,Azul,False
113,Producto 1304,5,Negro,False
114,Producto 1072,10,Plateado,True
114,Producto 582,5,Azul,True
114,Producto 1400,8,Gris,False
114,Producto 457,5,Negro,False
114,Producto 959,4,Gris,True
114,Producto 1006,7,Multicolor,True
115,Producto 836,1,Rojo,True
115,Producto 608,10,Gris,False
115,Producto 1483,4,Gris,True
115,Producto 215,4,Negro,True
115,Producto 462,5,Plateado,False
115,Producto 1210,2,Plateado,False
116,Producto 1068,6,Plateado,True
117,Producto 1461,2,Gris,True
117,Producto 1065,4,Negro,True
117,Producto 959,5,Rojo,False
117,Producto 803,8,Rojo,True
117,Producto 1093,2,Rojo,False
117,Producto 1326,10,Rojo,False
118,Producto 218,8,Rojo,True
118,Producto 480,6,Negro,True
119,Producto 620,1,Gris,False
119,Producto 67,1,Negro,False
120,Producto 1392,6,Plateado,True
120,Producto 115,8,Azul,True
121,Producto 1478,5,Gris,True
121,Producto 25,10,Dorado,True
121,Producto 993,3,Dorado,False
121,Producto 208,1,Gris,False
121,Producto 454,3,Rojo,False
121,Producto 1107,3,Gris,True
121,Producto 162,6,Multicolor,False
121,Producto 742,8,Plateado,False
122,Producto 431,2,Plateado,True
122,Producto 1369,6,Rojo,False
122,Producto 318,5,Azul,False
122,Producto 146,6,Azul,True
122,Producto 1400,7,Gris,True
122,Producto 446,4,Dorado,True
122,Producto 1043,9,Azul,True
123,Producto 384,5,Multicolor,True
123,Producto 986,5,Dorado,True
123,Producto 68,7,Rojo,False
123,Producto 1436,10,Rojo,False
124,Producto 1469,7,Negro,False
124,Producto 1074,9,Rojo,True
125,Producto 1125,4,Dorado,True
126,Producto 639,2,Azul,True
126,Producto 1255,8,Multicolor,True
127,Producto 1342,1,Multicolor,True
127,Producto 374,2,Multicolor,True
127,Producto 246,6,Negro,False
127,Producto 902,6,Multicolor,True
127,Producto 761,9,Negro,False
127,Producto 310,10,Dorado,False
128,Producto 943,4,Plateado,False
128,Producto 1465,3,Plateado,False
128,Producto 746,1,Negro,False
128,Producto 1104,5,Azul,False
128,Producto 771,6,Plateado,True
129,Producto 133,5,Multicolor,True
129,Producto 465,9,Rojo,False
129,Producto 1378,8,Azul,True
129,Producto 767,3,Gris,True
129,Producto 891,3,Negro,False
130,Producto 423,10,Dorado,True
130,Producto 1057,7,Azul,False
131,Producto 288,10,Dorado,False
131,Producto 1022,3,Azul,False
132,Producto 296,3,Rojo,True
132,Producto 1420,5,Gris,False
132,Producto 636,2,Plateado,True
133,Producto 1388,7,Multicolor,True
133,Producto 313,7,Plateado,True
133,Producto 920,8,Azul,True
133,Producto 736,5,Negro,True
133,Producto 370,6,Plateado,False
133,Producto 1030,1,Plateado,False
133,Producto 554,4,Plateado,True
134,Producto 898,3,Plateado,False
134,Producto 972,7,Multicolor,True
134,Producto 923,9,Gris,True
135,Producto 531,6,Multicolor,True
135,Producto 22,1,Dorado,True
135,Producto 871,8,Multicolor,False
135,Producto 463,1,Multicolor,False
135,Producto 271,6,Azul,True
135,Producto 1069,2,Rojo,True
136,Producto 861,5,Azul,True
136,Producto 1221,4,Multicolor,False
136,Producto 777,5,Negro,True
136,Producto 591,5,Dorado,True
137,Producto 12,1,Plateado,True
138,Producto 392,1,Gris,True
138,Producto 315,10,Rojo,True
138,Producto 444,8,Dorado,True
138,Producto 388,7,Multicolor,False
138,Producto 1158,2,Gris,False
138,Producto 994,10,Gris,False
138,Producto 706,4,Dorado,False
139,Producto 1249,8,Azul,True
139,Producto 1239,7,Multicolor,False
139,Producto 1034,2,Azul,True
139,Producto 968,9,Azul,False
139,Producto 819,5,Azul,True
139,Producto 699,2,Multicolor,False
139,Producto 1333,10,Plateado,False
139,Producto 268,4,Rojo,False
139,Producto 273,7,Plateado,True
139,Producto 207,3,Plateado,True
140,Producto 1051,9,Plateado,True
140,Producto 909,7,Gris,False
140,Producto 1168,5,Rojo,False
140,Producto 1331,7,Gris,False
140,Producto 1213,5,Dorado,True
140,Producto 875,10,Rojo,True
141,Producto 1281,3,Plateado,False
141,Producto 18,5,Gris,False
142,Producto 799,9,Azul,True
142,Producto 1378,2,Multicolor,True
142,Producto 1084,10,Gris,False
142,Producto 506,5,Gris,True
142,Producto 472,1,Azul,False
142,Producto 245,10,Multicolor,False
142,Producto 1104,1,Dorado,True
143,Producto 1343,5,Negro,True
143,Producto 339,6,Gris,False
143,Producto 631,1,Multicolor,True
143,Producto 1352,2,Gris,False
143,Producto 188,5,Rojo,True
144,Producto 1270,6,Dorado,True
144,Producto 1140,9,Azul,True
144,Producto 646,3,Gris,True
144,Producto 1199,3,Plateado,True
144,Producto 386,6,Dorado,False
144,Producto 1118,7,Negro,False
144,Producto 426,4,Plateado,False
144,Producto 649,4,Gris,False
144,Producto 69,2,Dorado,False
144,Producto 383,3,Gris,True
145,Producto 243,3,Plateado,False
145,Producto 257,3,Rojo,False
145,Producto 395,1,Azul,True
145,Producto 450,5,Rojo,False
145,Producto 769,1,Azul,False
145,Producto 572,5,Gris,False
145,Producto 1383,8,Azul,False
145,Producto 301,2,Azul,False
145,Producto 639,10,Gris,True
145,Producto 1335,6,Gris,False
146,Producto 1276,7,Multicolor,True
146,Producto 471,6,Rojo,True
146,Producto 1232,4,Multicolor,True
146,Producto 125,5,Negro,False
146,Producto 805,3,Dorado,False
146,Producto 567,5,Plateado,False
147,Producto 1092,2,Gris,True
147,Producto 711,2,Azul,False
147,Producto 1450,7,Multicolor,True
147,Producto 699,7,Azul,True
148,Producto 1003,4,Multicolor,True
148,Producto 323,4,Rojo,True
148,Producto 909,3,Multicolor,False
148,Producto 950,4,Negro,False
148,Producto 937,8,Plateado,True
148,Producto 1360,8,Multicolor,False
148,Producto 898,2,Gris,False
148,Producto 461,1,Rojo,True
148,Producto 606,4,Gris,True
149,Producto 1357,1,Gris,False
149,Producto 750,6,Negro,False
149,Producto 933,10,Negro,False
149,Producto 1092,8,Rojo,True
149,Producto 1206,1,Multicolor,False
149,Producto 1210,6,Dorado,False
149,Producto 857,3,Multicolor,False
149,Producto 1312,2,Multicolor,False
150,Producto 117,5,Negro,True
150,Producto 834,8,Dorado,True
150,Producto 1379,5,Rojo,True
150,Producto 1200,10,Plateado,False
150,Producto 273,2,Plateado,True
150,Producto 716,4,Rojo,True
150,Producto 484,2,Dorado,False
150,Producto 487,3,Rojo,True
150,Producto 895,3,Multicolor,False
151,Producto 1390,2,Gris,False
151,Producto 295,1,Azul,True
151,Producto 889,2,Negro,True
151,Producto 912,10,Azul,False
151,Producto 834,6,Plateado,False
152,Producto 75,1,Plateado,False
