TipoDocumento,FechaEmisión,Numero,Estado,Total
Orden de Compra,2020-04-06,88,Pendiente,4076
Orden de Compra,2020-11-27,89,Pendiente,9371
Despacho a Tienda,2022-07-18,90,Pendiente,3794
Despacho a Tienda,2021-02-10,91,Pendiente,7316
Despacho a Tienda,2020-10-22,92,Pendiente,9255
Transferencia a Almacen,2022-12-30,93,Completado,2683
Orden de Compra,2020-11-28,94,Pendiente,3366
Despacho a Tienda,2023-10-29,95,Pendiente,984
Orden de Compra,2022-06-01,96,Pendiente,9801
Transferencia a Almacen,2022-04-17,97,Pendiente,8213
Despacho a Tienda,2023-04-19,98,Completado,8793
Transferencia a Almacen,2022-01-10,99,Completado,7180
Orden de Compra,2022-03-17,100,Pendiente,7329
Despacho a Tienda,2022-03-19,101,Completado,184
Despacho a Tienda,2021-12-26,102,Completado,1495
Despacho a Tienda,2020-07-25,103,Completado,7145
Despacho a Tienda,2023-07-03,104,Pendiente,1091
Transferencia a Almacen,2020-02-11,105,Pendiente,1697
Despacho a Tienda,2023-08-31,106,Pendiente,1206
Despacho a Tienda,2022-08-09,107,Completado,6921
Transferencia a Almacen,2023-12-11,108,Pendiente,5577
Transferencia a Almacen,2021-11-15,109,Pendiente,3548
Transferencia a Almacen,2020-04-11,110,Completado,7943
Despacho a Tienda,2020-05-03,111,Completado,4330
Despacho a Tienda,2020-10-19,112,Pendiente,8264
Despacho a Tienda,2022-05-19,113,Pendiente,744
Orden de Compra,2022-10-29,114,Completado,2583
Despacho a Tienda,2021-11-28,115,Completado,3513
Transferencia a Almacen,2022-09-28,116,Pendiente,5113
Transferencia a Almacen,2022-05-11,117,Pendiente,6200
Transferencia a Almacen,2023-06-04,118,Pendiente,8249
Orden de Compra,2020-09-10,119,Completado,361
Transferencia a Almacen,2023-01-08,120,Pendiente,6372
Orden de Compra,2020-05-09,121,Pendiente,6290
Despacho a Tienda,2021-11-03,122,Completado,7771
Transferencia a Almacen,2020-12-28,123,Pendiente,3772
Orden de Compra,2023-08-30,124,Pendiente,7065
Despacho a Tienda,2020-04-08,125,Pendiente,8212
Orden de Compra,2020-10-22,126,Completado,2512
Transferencia a Almacen,2022-05-09,127,Completado,3741
Despacho a Tienda,2022-11-14,128,Pendiente,9669
Orden de Compra,2022-06-23,129,Completado,420
Transferencia a Almacen,2020-11-13,130,Pendiente,617
Orden de Compra,2023-08-21,131,Pendiente,7627
Orden de Compra,2022-12-29,132,Completado,8555
Despacho a Tienda,2020-03-27,133,Completado,192
Orden de Compra,2022-07-31,134,Completado,2003
Transferencia a Almacen,2023-07-21,135,Pendiente,4950
Transferencia a Almacen,2022-03-10,136,Completado,7904
Transferencia a Almacen,2022-05-20,137,Completado,592
Transferencia a Almacen,2021-10-14,138,Completado,8644
Transferencia a Almacen,2022-01-09,139,Pendiente,3836
Transferencia a Almacen,2020-04-19,140,Completado,5464
Orden de Compra,2020-06-01,141,Pendiente,3192
Orden de Compra,2023-03-11,142,Completado,603
Despacho a Tienda,2020-10-09,143,Pendiente,8569
Transferencia a Almacen,2020-07-01,144,Pendiente,675
Transferencia a Almacen,2022-04-16,145,Completado,748
Transferencia a Almacen,2023-02-19,146,Pendiente,2655
Orden de Compra,2022-05-27,147,Completado,9726
Transferencia a Almacen,2020-03-25,148,Completado,6393
Despacho a Tienda,2021-07-02,149,Completado,3284
Orden de Compra,2020-07-14,150,Pendiente,119
Transferencia a Almacen,2023-09-08,151,Pendiente,3670
Orden de Compra,2022-03-04,152,Pendiente,9525
Transferencia a Almacen,2021-11-18,153,Completado,3665
Transferencia a Almacen,2020-07-08,154,Completado,5412
Transferencia a Almacen,2023-10-07,155,Completado,2468
Despacho a Tienda,2020-05-10,156,Pendiente,1977
Despacho a Tienda,2022-07-02,157,Completado,4169
Orden de Compra,2020-07-27,158,Completado,2525
Despacho a Tienda,2020-04-16,159,Completado,3570
Despacho a Tienda,2020-08-29,160,Completado,7043
Transferencia a Almacen,2020-02-20,161,Pendiente,1077
Transferencia a Almacen,2022-12-30,162,Completado,7482
Despacho a Tienda,2020-04-14,163,Completado,6554
Orden de Compra,2022-12-21,164,Completado,758
Orden de Compra,2022-12-31,165,Completado,749
Orden de Compra,2023-01-05,166,Pendiente,6849
Orden de Compra,2020-09-08,167,Completado,6603
Orden de Compra,2022-04-10,168,Completado,5280
Despacho a Tienda,2021-10-10,169,Completado,1741
Orden de Compra,2021-04-09,170,Completado,3631
Despacho a Tienda,2020-01-29,171,Pendiente,3029
Transferencia a Almacen,2020-01-25,172,Pendiente,1700
Despacho a Tienda,2022-08-25,173,Completado,6614
Orden de Compra,2021-11-17,174,Pendiente,2410
Transferencia a Almacen,2023-10-12,175,Completado,1018
Transferencia a Almacen,2021-03-14,176,Completado,8874
Transferencia a Almacen,2021-08-03,177,Pendiente,7446
Transferencia a Almacen,2022-04-06,178,Pendiente,488
Despacho a Tienda,2023-09-24,179,Pendiente,6009
Despacho a Tienda,2020-12-19,180,Completado,8324
Orden de Compra,2020-09-12,181,Pendiente,3517
Despacho a Tienda,2022-10-26,182,Pendiente,6710
Transferencia a Almacen,2023-05-11,183,Pendiente,7028
Transferencia a Almacen,2021-08-27,184,Completado,3444
Despacho a Tienda,2022-11-24,185,Pendiente,1482
Despacho a Tienda,2023-04-05,186,Completado,9120
Transferencia a Almacen,2022-03-07,187,Completado,6561
Orden de Compra,2020-11-29,188,Completado,2798
Despacho a Tienda,2023-12-14,189,Completado,3687
Despacho a Tienda,2021-08-22,190,Pendiente,9082
Orden de Compra,2021-02-25,191,Completado,3407
Despacho a Tienda,2021-06-05,192,Pendiente,6121
Orden de Compra,2021-09-07,193,Completado,7679
Despacho a Tienda,2020-06-16,194,Pendiente,7625
Orden de Compra,2023-09-22,195,Completado,6155
Orden de Compra,2022-10-30,196,Completado,1312
Transferencia a Almacen,2020-11-21,197,Completado,9071
Despacho a Tienda,2021-03-16,198,Pendiente,8525
Orden de Compra,2021-12-24,199,Pendiente,830
Despacho a Tienda,2020-08-24,200,Pendiente,5377
Orden de Compra,2023-06-07,201,Pendiente,6866
Transferencia a Almacen,2023-12-06,202,Pendiente,9534
Orden de Compra,2020-05-10,203,Pendiente,8777
Orden de Compra,2022-07-19,204,Pendiente,7882
Transferencia a Almacen,2021-05-18,205,Pendiente,4262
Orden de Compra,2021-09-23,206,Completado,6784
Despacho a Tienda,2021-06-27,207,Completado,6526
Orden de Compra,2021-10-18,208,Pendiente,3674
Transferencia a Almacen,2022-03-28,209,Completado,8299
Orden de Compra,2022-03-10,210,Completado,6458
Orden de Compra,2023-06-18,211,Pendiente,4549
Despacho a Tienda,2020-10-31,212,Pendiente,7005
Orden de Compra,2023-12-22,213,Completado,3365
Despacho a Tienda,2021-11-22,214,Completado,8750
Orden de Compra,2021-07-12,215,Pendiente,451
Orden de Compra,2023-09-16,216,Completado,8665
Orden de Compra,2023-02-26,217,Pendiente,8493
Transferencia a Almacen,2023-06-23,218,Pendiente,6394
Transferencia a Almacen,2021-02-21,219,Completado,2698
Despacho a Tienda,2020-02-11,220,Pendiente,4183
Orden de Compra,2020-01-19,221,Pendiente,8065
Despacho a Tienda,2020-10-16,222,Completado,1004
Transferencia a Almacen,2020-11-24,223,Pendiente,5388
Despacho a Tienda,2023-04-17,224,Pendiente,2183
Transferencia a Almacen,2023-07-20,225,Pendiente,4762
Orden de Compra,2022-02-27,226,Pendiente,346
Orden de Compra,2023-01-22,227,Completado,190
Despacho a Tienda,2023-02-11,228,Completado,4905
Transferencia a Almacen,2020-03-31,229,Completado,714
Transferencia a Almacen,2021-02-11,230,Completado,9849
Despacho a Tienda,2020-05-24,231,Completado,7139
Orden de Compra,2021-11-30,232,Pendiente,6778
Despacho a Tienda,2021-03-16,233,Pendiente,2270
Orden de Compra,2020-09-09,234,Completado,9187
Despacho a Tienda,2021-05-26,235,Completado,7071
Orden de Compra,2023-06-15,236,Completado,5383
Orden de Compra,2023-05-22,237,Pendiente,6581
Orden de Compra,2021-04-17,238,Completado,9930
Orden de Compra,2020-01-30,239,Completado,1122
Orden de Compra,2021-08-14,240,Pendiente,2358
Despacho a Tienda,2022-11-11,241,Pendiente,6696
Despacho a Tienda,2023-03-22,242,Pendiente,5635
Orden de Compra,2023-01-19,243,Completado,524
Orden de Compra,2021-05-02,244,Pendiente,9987
Despacho a Tienda,2020-11-12,245,Pendiente,3094
Transferencia a Almacen,2023-04-28,246,Completado,4972
Despacho a Tienda,2021-06-11,247,Pendiente,5532
Despacho a Tienda,2023-03-19,248,Completado,2584
Despacho a Tienda,2022-03-08,249,Pendiente,8020
Despacho a Tienda,2023-06-01,250,Completado,3191
Transferencia a Almacen,2020-06-06,251,Pendiente,6905
Despacho a Tienda,2021-12-08,252,Pendiente,4794
Orden de Compra,2022-05-25,253,Completado,423
Despacho a Tienda,2022-09-16,254,Completado,8692
Despacho a Tienda,2021-09-04,255,Completado,5504
Orden de Compra,2022-02-27,256,Completado,1123
Despacho a Tienda,2022-07-19,257,Pendiente,7654
Orden de Compra,2020-11-03,258,Completado,2729
Despacho a Tienda,2021-11-26,259,Pendiente,3728
Orden de Compra,2023-08-05,260,Completado,7039
Orden de Compra,2021-12-12,261,Pendiente,1640
Orden de Compra,2023-08-07,262,Completado,7558
Transferencia a Almacen,2022-07-07,263,Completado,5419
Despacho a Tienda,2023-04-04,264,Pendiente,7760
Transferencia a Almacen,2020-08-28,265,Pendiente,2712
Despacho a Tienda,2020-01-02,266,Completado,4053
Orden de Compra,2022-04-04,267,Completado,2256
Despacho a Tienda,2020-04-28,268,Pendiente,4030
Despacho a Tienda,2023-02-19,269,Completado,2422
Orden de Compra,2020-02-24,270,Pendiente,5424
Despacho a Tienda,2023-11-24,271,Pendiente,3474
Orden de Compra,2021-03-05,272,Completado,479
Orden de Compra,2023-11-08,273,Pendiente,5765
Despacho a Tienda,2021-11-21,274,Pendiente,660
Orden de Compra,2020-03-15,275,Completado,9036
Transferencia a Almacen,2022-03-24,276,Completado,5802
Orden de Compra,2023-02-05,277,Completado,2781
Despacho a Tienda,2021-12-30,278,Pendiente,7279
Despacho a Tienda,2022-02-02,279,Completado,853
Orden de Compra,2021-07-03,280,Pendiente,4610
Orden de Compra,2022-02-14,281,Completado,6775
Transferencia a Almacen,2023-12-06,282,Completado,9347
Despacho a Tienda,2020-05-26,283,Completado,374
Orden de Compra,2020-12-12,284,Pendiente,6041
Orden de Compra,2021-01-08,285,Pendiente,642
Transferencia a Almacen,2020-06-12,286,Pendiente,9532
Transferencia a Almacen,2021-03-28,287,Completado,5965
Despacho a Tienda,2022-01-01,288,Pendiente,2661
Despacho a Tienda,2023-06-29,289,Completado,4602
Despacho a Tienda,2022-07-16,290,Pendiente,6430
Despacho a Tienda,2023-01-17,291,Pendiente,3621
Transferencia a Almacen,2021-02-19,292,Completado,2853
Transferencia a Almacen,2021-03-06,293,Completado,5791
Orden de Compra,2021-11-12,294,Completado,1287
Despacho a Tienda,2021-07-03,295,Completado,1365
Transferencia a Almacen,2023-08-04,296,Pendiente,8754
Transferencia a Almacen,2023-11-28,297,Completado,6931
Orden de Compra,2020-04-20,298,Pendiente,6805
Despacho a Tienda,2023-01-21,299,Completado,8948
Despacho a Tienda,2023-05-22,300,Completado,6352
Transferencia a Almacen,2022-05-02,301,Pendiente,9606
Orden de Compra,2023-10-31,302,Pendiente,5572
Orden de Compra,2023-10-16,303,Pendiente,4476
Despacho a Tienda,2023-10-17,304,Completado,1421
Orden de Compra,2023-08-24,305,Pendiente,6920
Despacho a Tienda,2022-01-15,306,Pendiente,9499
Transferencia a Almacen,2020-02-08,307,Completado,6258
Transferencia a Almacen,2020-12-19,308,Completado,3228
Despacho a Tienda,2020-12-24,309,Completado,2070
Orden de Compra,2022-10-14,310,Completado,739
Transferencia a Almacen,2020-06-16,311,Pendiente,280
Orden de Compra,2021-09-26,312,Completado,6430
Orden de Compra,2022-11-12,313,Completado,2369
Despacho a Tienda,2020-12-28,314,Pendiente,2538
Orden de Compra,2022-03-23,315,Pendiente,1667
Transferencia a Almacen,2023-11-15,316,Pendiente,369
Orden de Compra,2022-10-03,317,Pendiente,8391
Transferencia a Almacen,2021-03-10,318,Completado,2335
Orden de Compra,2020-04-29,319,Pendiente,722
Orden de Compra,2021-06-20,320,Completado,5470
Orden de Compra,2020-07-05,321,Pendiente,5047
Orden de Compra,2022-11-20,322,Completado,4675
Despacho a Tienda,2023-11-25,323,Completado,5024
Orden de Compra,2020-08-05,324,Completado,6901
Orden de Compra,2022-12-09,325,Completado,9159
Orden de Compra,2023-08-07,326,Pendiente,645
Transferencia a Almacen,2020-02-07,327,Pendiente,8943
Transferencia a Almacen,2021-09-02,328,Pendiente,7206
Despacho a Tienda,2023-03-02,329,Pendiente,4492
Despacho a Tienda,2022-11-07,330,Pendiente,5248
Despacho a Tienda,2022-10-25,331,Pendiente,4475
Despacho a Tienda,2022-06-09,332,Completado,7683
Orden de Compra,2020-08-11,333,Completado,603
Despacho a Tienda,2022-04-19,334,Pendiente,4343
Despacho a Tienda,2021-09-14,335,Completado,2234
Orden de Compra,2021-06-09,336,Pendiente,3387
Despacho a Tienda,2023-03-17,337,Pendiente,9066
Orden de Compra,2020-09-04,338,Pendiente,7278
Orden de Compra,2022-06-02,339,Completado,5594
Orden de Compra,2020-10-03,340,Pendiente,4259
Despacho a Tienda,2022-04-25,341,Pendiente,7398
Orden de Compra,2023-11-06,342,Completado,8897
Transferencia a Almacen,2021-08-08,343,Completado,3475
Transferencia a Almacen,2023-04-12,344,Completado,884
Despacho a Tienda,2020-05-03,345,Completado,3100
Orden de Compra,2021-04-06,346,Completado,9862
Orden de Compra,2021-08-31,347,Pendiente,7377
Despacho a Tienda,2023-02-25,348,Completado,5328
Transferencia a Almacen,2023-12-10,349,Completado,740
Orden de Compra,2020-10-25,350,Completado,3760
Orden de Compra,2023-05-18,351,Completado,2029
Orden de Compra,2023-03-16,352,Completado,4411
Orden de Compra,2023-10-01,353,Completado,5108
Orden de Compra,2020-10-08,354,Completado,5731
Orden de Compra,2023-11-29,355,Completado,6883
Orden de Compra,2020-11-19,356,Completado,5037
Despacho a Tienda,2020-06-13,357,Pendiente,382
Transferencia a Almacen,2021-09-12,358,Completado,472
Despacho a Tienda,2021-08-12,359,Pendiente,1159
Transferencia a Almacen,2022-05-11,360,Pendiente,725
Despacho a Tienda,2021-06-26,361,Pendiente,7300
Orden de Compra,2022-12-26,362,Completado,7791
Transferencia a Almacen,2020-02-04,363,Pendiente,7365
Orden de Compra,2023-11-10,364,Pendiente,9171
Transferencia a Almacen,2021-08-26,365,Completado,4085
Transferencia a Almacen,2023-11-05,366,Completado,1209
Despacho a Tienda,2023-07-20,367,Pendiente,761
Transferencia a Almacen,2022-04-04,368,Pendiente,1768
Transferencia a Almacen,2021-10-14,369,Pendiente,4410
Transferencia a Almacen,2021-03-16,370,Pendiente,2799
Transferencia a Almacen,2023-01-24,371,Completado,2094
Despacho a Tienda,2020-07-20,372,Completado,3814
Orden de Compra,2022-07-17,373,Completado,8019
Transferencia a Almacen,2022-04-12,374,Completado,5507
Despacho a Tienda,2021-08-08,375,Completado,2739
Despacho a Tienda,2023-04-30,376,Pendiente,6223
Despacho a Tienda,2023-10-16,377,Completado,4549
Orden de Compra,2022-07-20,378,Completado,7673
Despacho a Tienda,2020-04-06,379,Completado,5474
Despacho a Tienda,2023-03-17,380,Completado,1609
Orden de Compra,2021-07-18,381,Completado,308
Despacho a Tienda,2021-07-04,382,Pendiente,2391
Orden de Compra,2020-01-06,383,Pendiente,5926
Orden de Compra,2021-09-01,384,Pendiente,832
Orden de Compra,2023-12-25,385,Completado,2336
Transferencia a Almacen,2022-11-19,386,Pendiente,7252
Orden de Compra,2022-06-25,387,Pendiente,9403
Despacho a Tienda,2022-09-11,388,Completado,4134
Orden de Compra,2023-05-09,389,Completado,4670
Despacho a Tienda,2020-08-08,390,Pendiente,8063
Orden de Compra,2023-02-19,391,Completado,3321
Orden de Compra,2020-04-07,392,Pendiente,2789
Despacho a Tienda,2022-09-22,393,Completado,7295
Orden de Compra,2023-08-17,394,Pendiente,4050
Orden de Compra,2020-01-27,395,Pendiente,6379
Despacho a Tienda,2020-08-13,396,Pendiente,7286
Transferencia a Almacen,2023-10-17,397,Completado,5356
Transferencia a Almacen,2023-02-02,398,Completado,1733
Transferencia a Almacen,2020-09-14,399,Completado,9391
Despacho a Tienda,2023-05-30,400,Pendiente,546
Transferencia a Almacen,2022-08-26,401,Pendiente,257
Despacho a Tienda,2021-09-12,402,Pendiente,4149
Despacho a Tienda,2023-08-08,403,Pendiente,8029
Transferencia a Almacen,2023-12-29,404,Pendiente,2157
Orden de Compra,2022-07-07,405,Pendiente,9962
Despacho a Tienda,2023-12-04,406,Completado,1835
Despacho a Tienda,2021-01-19,407,Completado,7213
Despacho a Tienda,2023-07-06,408,Completado,4606
Orden de Compra,2022-10-25,409,Pendiente,3219
Transferencia a Almacen,2020-11-09,410,Pendiente,7659
Despacho a Tienda,2023-06-07,411,Pendiente,8376
Despacho a Tienda,2023-07-08,412,Pendiente,7089
Transferencia a Almacen,2022-06-11,413,Pendiente,1644
Orden de Compra,2021-06-20,414,Completado,8580
Despacho a Tienda,2020-03-28,415,Completado,1260
Despacho a Tienda,2021-06-09,416,Pendiente,728
Despacho a Tienda,2022-05-07,417,Pendiente,8471
Despacho a Tienda,2021-03-07,418,Completado,2591
Orden de Compra,2023-08-14,419,Completado,2813
Despacho a Tienda,2020-03-11,420,Pendiente,9267
Orden de Compra,2020-12-29,421,Completado,7870
Despacho a Tienda,2022-12-16,422,Pendiente,8312
Orden de Compra,2022-06-11,423,Pendiente,3060
Despacho a Tienda,2020-12-18,424,Completado,2673
Orden de Compra,2022-10-22,425,Completado,6926
Orden de Compra,2023-07-17,426,Completado,4367
Orden de Compra,2023-11-23,427,Completado,7135
Orden de Compra,2023-07-05,428,Pendiente,4318
Transferencia a Almacen,2021-01-03,429,Completado,9887
Despacho a Tienda,2020-05-06,430,Completado,5161
Despacho a Tienda,2020-09-27,431,Pendiente,9073
Orden de Compra,2023-05-28,432,Pendiente,3902
Transferencia a Almacen,2021-09-18,433,Completado,2966
Despacho a Tienda,2020-11-11,434,Pendiente,6324
Despacho a Tienda,2020-04-29,435,Completado,6370
Transferencia a Almacen,2020-02-05,436,Completado,7592
Despacho a Tienda,2022-01-02,437,Completado,8626
Transferencia a Almacen,2023-09-17,438,Pendiente,4838
Despacho a Tienda,2020-10-14,439,Completado,8693
Despacho a Tienda,2022-06-09,440,Pendiente,7894
Orden de Compra,2020-06-13,441,Pendiente,8015
Orden de Compra,2021-10-17,442,Completado,3473
Orden de Compra,2022-01-03,443,Completado,3480
Despacho a Tienda,2021-12-03,444,Pendiente,4943
Orden de Compra,2023-03-09,445,Completado,5649
Despacho a Tienda,2022-06-13,446,Completado,8781
Despacho a Tienda,2021-05-05,447,Completado,9968
Despacho a Tienda,2021-07-10,448,Pendiente,3232
Orden de Compra,2020-08-04,449,Pendiente,1703
Despacho a Tienda,2022-09-13,450,Pendiente,6217
Transferencia a Almacen,2021-08-21,451,Completado,8796
Transferencia a Almacen,2022-11-03,452,Pendiente,6867
Orden de Compra,2023-04-11,453,Pendiente,7935
Transferencia a Almacen,2020-07-31,454,Completado,9824
Orden de Compra,2020-05-08,455,Pendiente,4698
Despacho a Tienda,2022-02-24,456,Pendiente,2843
Despacho a Tienda,2023-11-03,457,Completado,1127
Despacho a Tienda,2022-10-21,458,Pendiente,5611
Transferencia a Almacen,2022-06-12,459,Completado,5296
Despacho a Tienda,2023-08-11,460,Completado,2250
Orden de Compra,2021-08-16,461,Completado,7908
Transferencia a Almacen,2022-07-19,462,Pendiente,9654
Despacho a Tienda,2021-06-13,463,Completado,9243
Orden de Compra,2020-03-07,464,Completado,3552
Transferencia a Almacen,2021-09-25,465,Completado,1122
Transferencia a Almacen,2020-06-10,466,Pendiente,7490
Transferencia a Almacen,2021-07-15,467,Completado,5880
Despacho a Tienda,2020-08-13,468,Completado,3762
Transferencia a Almacen,2021-08-13,469,Completado,9326
Transferencia a Almacen,2022-01-09,470,Pendiente,2795
Despacho a Tienda,2021-07-24,471,Completado,9239
Transferencia a Almacen,2022-08-15,472,Pendiente,227
Despacho a Tienda,2021-09-20,473,Pendiente,1127
Orden de Compra,2023-04-01,474,Pendiente,9680
Orden de Compra,2023-04-29,475,Completado,1443
Despacho a Tienda,2022-01-17,476,Completado,7796
Transferencia a Almacen,2021-09-16,477,Pendiente,667
Transferencia a Almacen,2021-08-22,478,Pendiente,662
Transferencia a Almacen,2023-02-18,479,Completado,8891
Transferencia a Almacen,2023-01-11,480,Completado,5975
Despacho a Tienda,2021-04-08,481,Completado,2600
Despacho a Tienda,2021-10-23,482,Pendiente,9299
Despacho a Tienda,2023-11-10,483,Completado,7754
Despacho a Tienda,2022-03-07,484,Completado,1985
Despacho a Tienda,2020-03-03,485,Pendiente,7255
Orden de Compra,2022-09-16,486,Pendiente,8795
Transferencia a Almacen,2023-05-22,487,Pendiente,4180
Transferencia a Almacen,2023-06-26,488,Completado,5155
Orden de Compra,2022-01-18,489,Completado,8087
Transferencia a Almacen,2022-06-03,490,Completado,3018
Despacho a Tienda,2021-05-17,491,Pendiente,9833
Transferencia a Almacen,2022-08-30,492,Pendiente,9626
Transferencia a Almacen,2022-05-15,493,Completado,2381
Orden de Compra,2021-05-23,494,Completado,9218
Despacho a Tienda,2023-03-31,495,Completado,4183
Despacho a Tienda,2022-09-26,496,Pendiente,2312
Transferencia a Almacen,2022-03-07,497,Completado,7117
Despacho a Tienda,2020-04-22,498,Pendiente,8601
Transferencia a Almacen,2023-09-16,499,Completado,2672
Orden de Compra,2021-03-21,500,Completado,7207
Transferencia a Almacen,2022-06-14,501,Completado,8238
Despacho a Tienda,2022-04-23,502,Completado,2870
Despacho a Tienda,2022-05-17,503,Completado,2612
Orden de Compra,2021-03-23,504,Pendiente,7364
Transferencia a Almacen,2020-10-29,505,Pendiente,4278
Transferencia a Almacen,2022-06-25,506,Completado,7210
Orden de Compra,2023-02-06,507,Pendiente,7846
Despacho a Tienda,2021-07-30,508,Pendiente,6741
Transferencia a Almacen,2023-04-01,509,Completado,122
Orden de Compra,2021-05-10,510,Pendiente,4717
Orden de Compra,2022-11-03,511,Pendiente,2458
Orden de Compra,2022-04-18,512,Completado,658
Despacho a Tienda,2023-07-01,513,Pendiente,2047
Transferencia a Almacen,2021-08-21,514,Pendiente,4754
Orden de Compra,2020-03-07,515,Pendiente,3542
Orden de Compra,2020-09-04,516,Completado,9807
Transferencia a Almacen,2020-07-05,517,Pendiente,5558
Despacho a Tienda,2021-10-15,518,Completado,5249
Transferencia a Almacen,2023-04-21,519,Pendiente,1573
Despacho a Tienda,2020-03-19,520,Pendiente,7382
Orden de Compra,2023-08-06,521,Pendiente,9038
Despacho a Tienda,2023-06-24,522,Pendiente,1991
Transferencia a Almacen,2022-04-21,523,Completado,8267
Transferencia a Almacen,2021-10-11,524,Completado,5850
Transferencia a Almacen,2023-06-06,525,Pendiente,429
Despacho a Tienda,2020-04-09,526,Pendiente,2454
